architecture,training_seed,budget,objective,selection,restart,attack_loss,accuracy_pct,normalized_accuracy,rho_abs,rho_rel_calibration,n_eff,max_layer_share,dominant_layer,entropy_normalized,identity_relative_error,c_L1,c_L2,c_L3,c_L4,c_L5,c_L6,c_L7,c_L8,c_L9,c_L10,c_L11,c_L12
vits,456,0.0095,task_loss,loss_selected,0,4.190687591582536,16.628175519630485,0.2099125364431487,0.10900871661016844,0.07913167547616555,9.994772688822486,0.1624302979184164,4,0.9516028073674525,1.459848549276597e-16,0.005363696331730165,0.04932811462989336,0.0841100487321978,0.1624302979184164,0.11316822327622592,0.0904923970207497,0.1117179989088426,0.09758259641486113,0.07908512562116549,0.08256697180237704,0.07538207119540215,0.048772458148138194
vits,456,0.0095,task_loss,rho_selected,0,4.190687591582536,16.628175519630485,0.2099125364431487,0.10900871661016844,0.07913167547616555,9.994772688822486,0.1624302979184164,4,0.9516028073674525,1.459848549276597e-16,0.005363696331730165,0.04932811462989336,0.0841100487321978,0.1624302979184164,0.11316822327622592,0.0904923970207497,0.1117179989088426,0.09758259641486113,0.07908512562116549,0.08256697180237704,0.07538207119540215,0.048772458148138194
vits,456,0.01,task_loss,loss_selected,3,4.520077459514141,14.693995381062356,0.18549562682215745,0.1003116555380228,0.07281829948423847,10.241812052970054,0.14247923016011205,4,0.9554412705220264,0.0,0.005131473341565107,0.04959946542329636,0.08288117009127269,0.14247923016011205,0.1077757475602271,0.09218686694715879,0.11382407860249871,0.10754871334685921,0.08333915671691573,0.08998827801727526,0.07778328389420454,0.04746253589861446
vits,456,0.01,task_loss,rho_selected,4,4.51930720359087,14.665127020785219,0.18513119533527697,0.1006118842864139,0.07303624172431877,10.234575957164939,0.1434649341676563,4,0.9553609910284582,1.7136877430638383e-16,0.005159174154700196,0.04964571406564456,0.08298434482866149,0.1434649341676563,0.10772453802538426,0.0921557178794953,0.11366303621016662,0.10714854068878657,0.08311170033621869,0.08968331840402917,0.07771583819059309,0.04754314304866375
vits,456,0.02,task_loss,loss_selected,3,8.057927069067954,1.5011547344110854,0.018950437317784254,0.09414027882941933,0.0683383698590435,10.852180489169198,0.11615971286448089,8,0.9707410855983157,0.0,0.009349926916713899,0.09116700283783635,0.07911707075092807,0.08606655499923747,0.08662401364043848,0.08097699270044983,0.10298491231326215,0.11615971286448089,0.09024603566508252,0.11400376926838415,0.08765800103793828,0.05564600700524792
vits,456,0.02,task_loss,rho_selected,2,7.3145459443330765,2.136258660508083,0.02696793002915452,0.1096130510424383,0.07957037430375079,10.86637178357811,0.1135161136247186,10,0.9674955650138963,1.4437956304201203e-16,0.003978955310805885,0.07920791805476486,0.08188490936656383,0.09290203444891007,0.09158029965731085,0.08791415973146799,0.09825596600262135,0.10896826169360739,0.0859091730374452,0.1135161136247186,0.09100424193309405,0.0648779671386899
vits,456,0.009,task_loss,loss_selected,2,3.882504577189684,20.958429561200923,0.26457725947521865,0.10646173854064633,0.0772827715691221,9.889310338493415,0.1646204245425411,4,0.9493518747416668,0.0,0.005553226424022686,0.049285944593656095,0.08490555067314999,0.1646204245425411,0.11685807414311078,0.09183219338384,0.11414275702218836,0.09749214774648973,0.07843121860361431,0.08024294916304218,0.07127825502878601,0.045357258675558725
vits,456,0.009,task_loss,rho_selected,2,3.882504577189684,20.958429561200923,0.26457725947521865,0.10646173854064633,0.0772827715691221,9.889310338493415,0.1646204245425411,4,0.9493518747416668,0.0,0.005553226424022686,0.049285944593656095,0.08490555067314999,0.1646204245425411,0.11685807414311078,0.09183219338384,0.11414275702218836,0.09749214774648973,0.07843121860361431,0.08024294916304218,0.07127825502878601,0.045357258675558725
vits,1011,0.0095,task_loss,loss_selected,4,4.314916263520717,11.056581986143186,0.1403444485159399,0.11631365817713972,0.08910008893766229,9.143478277057087,0.19383434188752932,4,0.9374069098189921,0.0,0.009243232079903543,0.046162085358453384,0.053587459989393516,0.19383434188752932,0.11405629768767626,0.14347502969971868,0.09558005937662487,0.06821943619263102,0.06423549976448943,0.08115453285773694,0.058037791550096966,0.07241423355574612
vits,1011,0.0095,task_loss,rho_selected,0,4.314872574806214,11.056581986143186,0.1403444485159399,0.11631406518746283,0.08910040072096062,9.14359539351559,0.19382780448078507,4,0.9374095551476493,0.0,0.009243754978255291,0.04616169686191882,0.05358808406895638,0.19382780448078507,0.1140555827396525,0.14347806236788177,0.09557859621357784,0.06822116058452549,0.06423772293182213,0.08115665361763967,0.05803897822208639,0.07241190293289859
