dataset,family,seed,draw_seed,budget,rho,accuracy,source
cifar,learned,42,342173717,0.005,0.034439112287735156,0.9987972508591065,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.01,0.07121700066484253,0.997766323024055,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.015,0.11102555326752506,0.99553264604811,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.02,0.1529220368258268,0.9934707903780069,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.03,0.2359211377696169,0.9876288659793815,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.04,0.3120150018844132,0.976975945017182,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,342173717,0.05,0.38027014643931617,0.9687285223367696,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.0025,0.018202535620790754,0.9993127147766323,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.005,0.03679907495028923,0.9993127147766323,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.01,0.07593163087640882,0.9981099656357388,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.015,0.11786377632569611,0.9951890034364261,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.02,0.16134235610270647,0.9938144329896907,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.03,0.24554618673842102,0.988831615120275,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.04,0.32139533109830243,0.9792096219931272,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,780632440,0.05,0.38866649532628045,0.9647766323024054,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.0025,0.01802646722799846,0.9982817869415808,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.005,0.03622982172021547,0.9982817869415808,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.01,0.0744553666723197,1.000171821305842,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.015,0.11595832253882885,0.9970790378006873,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.02,0.1590762078796127,0.9960481099656358,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.03,0.24203247070263556,0.988659793814433,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.04,0.31687421739967936,0.9823024054982818,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,460493296,0.05,0.38351343020100254,0.9714776632302404,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.0025,0.018072515029475725,0.9993127147766323,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.005,0.03643730854679041,0.9986254295532646,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.01,0.07489046098679554,0.9989690721649485,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.015,0.11601583373859108,0.9982817869415808,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.02,0.15875447404480483,0.9969072164948454,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.03,0.24239111372571304,0.9914089347079038,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.04,0.31845786420329864,0.9840206185567011,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1456730185,0.05,0.3859644760301681,0.9721649484536081,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.0025,0.01802353377564706,0.9991408934707904,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.005,0.03638517772557367,0.997766323024055,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.01,0.07509097642391684,0.9986254295532646,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.015,0.11663075912465708,0.9972508591065292,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.02,0.15954945144118748,0.9957044673539519,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.03,0.24241541011868753,0.9879725085910653,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,42,1763599044,0.04,0.3169315897771258,0.981958762886598,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
