endpoint,dataset,pe_family,regime,n_seeds,nauc_mean,nauc_sd,nauc_min,nauc_max
0.23,cifar,learned,noise,6,0.9976020504586608,0.0024732998354788575,0.9953933437693504,1.0019050783612107
0.23,cifar,learned,adversarial,6,0.7105549996085799,0.05225086843309282,0.6543176639462143,0.7940732418278018
0.23,cifar,sinusoidal,noise,6,0.9922372225359872,0.000826563948684939,0.9908375540866046,0.9930697252414268
0.23,cifar,sinusoidal,adversarial,6,0.7580850288032529,0.038988330304084745,0.6847734647758682,0.791745731646104
0.23,cifar,rope,noise,6,0.9948182083634239,0.000929353449853694,0.9939384395840938,0.9963638922672118
0.23,cifar,rope,adversarial,6,0.7912063294608419,0.12052738253033769,0.685104343995895,0.9684411745524031
0.23,cifar,alibi,noise,6,0.964138272128801,0.006200706682813963,0.9549126705965312,0.9698711516049827
0.23,cifar,alibi,adversarial,6,0.8475100595609949,0.014643877006677283,0.8211640325519671,0.8614863577130997
