dataset,family,seed,regime,point_index,rho,accuracy,exact_clean_anchor,adversarial_lower_envelope
imagenet,learned,456,adversarial_raw,1,0.004106843010664594,0.9988978692138134,False,False
imagenet,learned,456,adversarial_raw,2,0.008517517574208598,0.9963262307127113,False,False
imagenet,learned,456,adversarial_raw,3,0.013355914509740451,0.9959588537839825,False,False
imagenet,learned,456,adversarial_raw,4,0.019197394971012208,0.9930198383541514,False,False
imagenet,learned,456,adversarial_raw,5,0.039192013136129016,0.9893460690668627,False,False
imagenet,learned,456,adversarial_raw,6,0.07195597462763634,0.9867744305657606,False,False
imagenet,learned,456,adversarial_raw,7,0.0805099891000621,0.9823659074210139,False,False
imagenet,learned,456,adversarial_raw,8,0.1541308802355012,0.9643644379132992,False,False
imagenet,learned,456,adversarial_raw,9,0.18363223324483946,0.9180749448934609,False,False
imagenet,learned,456,adversarial_raw,10,0.2072542416193139,0.7468772961058046,False,False
imagenet,learned,789,noise,0,0.0,1.0,True,False
imagenet,learned,789,noise,1,0.0037821974266857386,1.0001836210062431,False,False
imagenet,learned,789,noise,2,0.007583788137614686,1.0003305178112376,False,False
imagenet,learned,789,noise,3,0.015428210590010363,0.999889827396254,False,False
imagenet,learned,789,noise,4,0.03243446135834656,0.998824825560044,False,False
imagenet,learned,789,noise,5,0.06976651186159546,0.9988615497612926,False,False
imagenet,learned,789,noise,6,0.08839791104649805,0.9981637899375688,False,False
imagenet,learned,789,noise,7,0.10618332966660579,0.9979434447300772,False,False
imagenet,learned,789,noise,8,0.13833401854664648,0.9956298200514139,False,False
imagenet,learned,789,adversarial,0,0.0,1.0,True,True
imagenet,learned,789,adversarial,1,0.014179047462371136,0.998531031950055,False,True
imagenet,learned,789,adversarial,2,0.033618984202980734,0.9966948218876239,False,True
imagenet,learned,789,adversarial,3,0.061390970707639395,0.9897172236503856,False,True
imagenet,learned,789,adversarial,4,0.0918774317002631,0.9827396254131472,False,True
imagenet,learned,789,adversarial,5,0.11864891629311786,0.9702533969886155,False,True
imagenet,learned,789,adversarial,6,0.13971791648336368,0.948586118251928,False,True
imagenet,learned,789,adversarial,7,0.16810069620493584,0.8501652589056188,False,True
imagenet,learned,789,adversarial,8,0.20203655854498379,0.5978699963275799,False,True
imagenet,learned,789,adversarial,9,0.22631038749708526,0.37201615864854937,False,True
imagenet,learned,789,adversarial,10,0.24343751236767738,0.24605214836577305,False,True
imagenet,learned,789,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,789,adversarial_raw,1,0.014179047462371136,0.998531031950055,False,False
imagenet,learned,789,adversarial_raw,2,0.033618984202980734,0.9966948218876239,False,False
imagenet,learned,789,adversarial_raw,3,0.061390970707639395,0.9897172236503856,False,False
imagenet,learned,789,adversarial_raw,4,0.0918774317002631,0.9827396254131472,False,False
imagenet,learned,789,adversarial_raw,5,0.11864891629311786,0.9702533969886155,False,False
imagenet,learned,789,adversarial_raw,6,0.13971791648336368,0.948586118251928,False,False
imagenet,learned,789,adversarial_raw,7,0.16810069620493584,0.8501652589056188,False,False
imagenet,learned,789,adversarial_raw,8,0.20203655854498379,0.5978699963275799,False,False
imagenet,learned,789,adversarial_raw,9,0.22631038749708526,0.37201615864854937,False,False
imagenet,learned,789,adversarial_raw,10,0.24343751236767738,0.24605214836577305,False,False
imagenet,learned,1011,noise,0,0.0,1.0,True,False
imagenet,learned,1011,noise,1,0.0036804076642527805,0.9992360858493999,False,False
imagenet,learned,1011,noise,2,0.007376924740355763,0.9988359403419425,False,False
imagenet,learned,1011,noise,3,0.014996252400783977,0.9989086940705711,False,False
imagenet,learned,1011,noise,4,0.03142831316200784,0.9984721716987996,False,False
imagenet,learned,1011,noise,5,0.06691173604137209,0.9955983994179702,False,False
imagenet,learned,1011,noise,6,0.08433129899767551,0.9936340487449982,False,False
imagenet,learned,1011,noise,7,0.10089463669107361,0.9923608584939979,False,False
imagenet,learned,1011,noise,8,0.13155153246648657,0.9878137504547109,False,False
imagenet,learned,1011,adversarial,0,0.0,1.0,True,True
imagenet,learned,1011,adversarial,1,0.008902082035266459,0.9981811567842852,False,True
imagenet,learned,1011,adversarial,2,0.019874841014774988,0.9981811567842852,False,True
imagenet,learned,1011,adversarial,3,0.03569738815792629,0.9938159330665698,False,True
imagenet,learned,1011,adversarial,4,0.06171987610140985,0.99017824663514,False,True
imagenet,learned,1011,adversarial,5,0.11625110263324683,0.9770825754819936,False,True
imagenet,learned,1011,adversarial,6,0.13473936023924896,0.9578028373954165,False,True
imagenet,learned,1011,adversarial,7,0.14498283717886198,0.6929792651873409,False,True
imagenet,learned,1011,adversarial,8,0.1527151290841689,0.6929792651873409,False,True
imagenet,learned,1011,adversarial,9,0.1544406191226164,0.6929792651873409,False,True
imagenet,learned,1011,adversarial,10,0.16570626423074564,0.6929792651873409,False,True
imagenet,learned,1011,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,1011,adversarial_raw,1,0.008902082035266459,0.9981811567842852,False,False
imagenet,learned,1011,adversarial_raw,2,0.019874841014774988,0.9985449254274283,False,False
imagenet,learned,1011,adversarial_raw,3,0.03569738815792629,0.9938159330665698,False,False
imagenet,learned,1011,adversarial_raw,4,0.06171987610140985,0.99017824663514,False,False
imagenet,learned,1011,adversarial_raw,5,0.11625110263324683,0.9770825754819936,False,False
imagenet,learned,1011,adversarial_raw,6,0.13473936023924896,0.9578028373954165,False,False
imagenet,learned,1011,adversarial_raw,7,0.14498283717886198,0.6929792651873409,False,False
imagenet,learned,1011,adversarial_raw,8,0.1527151290841689,0.9410694798108403,False,False
imagenet,learned,1011,adversarial_raw,9,0.1544406191226164,0.870134594397963,False,False
imagenet,learned,1011,adversarial_raw,10,0.16570626423074564,0.9243361222262642,False,False
imagenet,learned,1213,noise,0,0.0,1.0,True,False
imagenet,learned,1213,noise,1,0.003626731510785445,1.0001453488372092,False,False
imagenet,learned,1213,noise,2,0.007263398442931127,1.0,False,False
imagenet,learned,1213,noise,3,0.01469766111181468,0.9997819767441859,False,False
imagenet,learned,1213,noise,4,0.030409643821791725,0.9993459302325581,False,False
imagenet,learned,1213,noise,5,0.06419896921334008,0.9948401162790697,False,False
imagenet,learned,1213,noise,6,0.08113736556966374,0.9925508720930232,False,False
imagenet,learned,1213,noise,7,0.09762284194085158,0.990734011627907,False,False
imagenet,learned,1213,noise,8,0.12891440606242285,0.9870276162790697,False,False
imagenet,learned,1213,adversarial,0,0.0,1.0,True,True
imagenet,learned,1213,adversarial,1,0.012255108376152181,0.9996366279069766,False,True
imagenet,learned,1213,adversarial,2,0.026594509581225452,0.9970930232558138,False,True
imagenet,learned,1213,adversarial,3,0.04441646702521267,0.9960029069767442,False,True
imagenet,learned,1213,adversarial,4,0.11371086958276297,0.9840116279069766,False,True
imagenet,learned,1213,adversarial,5,0.12153358217423096,0.8975290697674418,False,True
imagenet,learned,1213,adversarial,6,0.13562637825404078,0.7063953488372092,False,True
imagenet,learned,1213,adversarial,7,0.14000343831709025,0.7063953488372092,False,True
imagenet,learned,1213,adversarial,8,0.15420556028289492,0.37754360465116277,False,True
imagenet,learned,1213,adversarial,9,0.16308414603987287,0.37754360465116277,False,True
imagenet,learned,1213,adversarial,10,0.18344720973461706,0.37754360465116277,False,True
imagenet,learned,1213,adversarial_raw,0,0.0,1.0,True,False
imagenet,learned,1213,adversarial_raw,1,0.012255108376152181,0.9996366279069766,False,False
imagenet,learned,1213,adversarial_raw,2,0.026594509581225452,0.9970930232558138,False,False
imagenet,learned,1213,adversarial_raw,3,0.04441646702521267,0.9960029069767442,False,False
imagenet,learned,1213,adversarial_raw,4,0.11371086958276297,0.9840116279069766,False,False
imagenet,learned,1213,adversarial_raw,5,0.12153358217423096,0.8975290697674418,False,False
imagenet,learned,1213,adversarial_raw,6,0.13562637825404078,0.7063953488372092,False,False
