dataset,family,seed,budget,rho,accuracy,attack_loss,source_class,source
cifar,rope,123,0.075,0.16704942799238615,0.7459625322997416,2.020702075958252,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_rope.json
cifar,rope,123,0.1,0.18260640246061477,0.5289082687338502,2.8021777153015135,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_rope.json
cifar,rope,123,0.15,0.19910115227949476,0.16779715762273903,4.529689359664917,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_rope.json
cifar,rope,123,0.2,0.2347047908724523,0.06556847545219639,5.510508894920349,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_rope.json
cifar,rope,123,0.3,0.40250593445361504,0.038598191214470286,6.077824521064758,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_rope.json
cifar,sinusoidal,42,0.0025,0.01726741905877376,0.9926173316927402,1.4668034195899964,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,42,0.005,0.03321825973149693,0.977500439444542,1.5410755693912506,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,42,0.0075,0.0828017221813045,0.9207242046053787,1.7303550779819488,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,42,0.01,0.1597619784936225,0.6834241518720336,2.521403670310974,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,42,0.0125,0.26839894582858986,0.18052381789418173,4.285211849212646,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,42,0.015,0.2792557548679519,0.06908068201792933,4.904280471801758,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.0025,0.019544872834566462,0.993574870605033,1.5082145392894746,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.005,0.03928585010854068,0.9855434588613243,1.5676887512207032,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.0075,0.046198114008040636,0.9400321256469749,1.6879876554012299,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.01,0.09012813510952253,0.8773871140460467,1.901539647579193,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.0125,0.21722914478183028,0.42245225771907907,3.438742792606354,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,sinusoidal,123,0.015,0.27253475400233906,0.13778333035873638,4.680633854866028,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/attacks_sinusoidal.json
cifar,alibi,456,0.005,0.022861002615249326,0.9934836209933076,1.4645865380764007,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.01,0.04590425966150065,0.9829165199013739,1.5162664830684662,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.025,0.12017881592324328,0.8409651285663967,1.9158688008785247,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.05,0.22816714880106934,0.5438534695315252,2.958422565460205,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.075,0.32340146816862214,0.3890454385346953,3.5691151857376098,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.1,0.4393763296807477,0.24321944346600918,4.189486122131347,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,456,0.15,0.6518733077430575,0.10373370905248329,4.537960553169251,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.005,0.022883572469244943,0.993010658745413,1.4767168700695037,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.01,0.04538206289678403,0.980429844487157,1.5270547151565552,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.025,0.11064141750491985,0.8946356805871046,1.7863936066627502,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.05,0.23485680762757838,0.5923466713262275,2.5836755990982057,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.075,0.3242468237618799,0.43962956491350685,3.3441909074783327,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.1,0.4467373521342865,0.2255809889917875,3.9818182587623596,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,alibi,789,0.15,0.639529499189269,0.08596889743141709,4.792144227027893,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_alibi.json
cifar,learned,456,0.00125,0.052174632742125616,0.9940735576085062,1.4930553257465362,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,456,0.0025,0.1066373794963385,0.9825692870838416,1.5842438459396362,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,456,0.00375,0.15356111742836304,0.95485445354715,1.7000657141208648,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,456,0.005,0.16328407264004044,0.40840160362558825,3.3305556535720826,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,456,0.0075,0.2822920284071012,0.053163674394282726,5.314057874679565,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,456,0.01,0.3109851047646963,0.028237754924176395,5.9487237453460695,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.00125,0.057304024430366904,0.9889879391714733,1.564020836353302,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.0025,0.07243028515097047,0.9374235273553574,1.7218128383159637,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.00375,0.11530338982323278,0.7297675231602867,2.352552366256714,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.005,0.1693748852148077,0.34836567033735355,3.6545920848846434,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.0075,0.232224570822453,0.07795839888131445,5.22878143787384,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,learned,789,0.01,0.26670782489450057,0.033735360950882705,5.7475135803222654,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_learned.json
cifar,rope,456,0.025,0.175786929672627,0.9490158115521136,1.3551785856485368,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.05,0.27878175857342774,0.7967086156824783,1.8533322274684907,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.075,0.3173271593053541,0.6642465311390772,2.3681015253067015,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.1,0.31284570301106707,0.48644724104549864,3.004513943195343,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.15,0.2888423958676688,0.17376573088092936,4.420922744274139,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.2,0.2806694934806668,0.061955469506292354,5.449321389198303,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,456,0.3,0.4249712734156588,0.037270087124878996,5.969439268112183,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.025,0.074373126053635,0.9667153758727067,1.2545606166124343,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.05,0.1258144968640255,0.8702711479136225,1.5450716495513916,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.075,0.14606071282935057,0.722032797532067,2.132684051990509,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.1,0.16386875955129912,0.5028413703523299,3.017116940021515,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.15,0.18626667590299179,0.17259295340152622,4.530115723609924,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
cifar,rope,789,0.2,0.21907682958601948,0.05845104724792986,5.604945230484009,base,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/attacks_rope.json
