endpoint,dataset,pe_family,n_seeds,noise_nauc_mean,noise_nauc_sd,adversarial_nauc_mean,adversarial_nauc_sd,gap_mean,gap_sd,gap_ci95_low,gap_ci95_high,positive_gap_seeds,exact_sign_flip_p
0.09,imagenet,learned,6,0.9979793849955189,0.001139120552577365,0.9934781611681333,0.002469649243970863,0.004501223827385696,0.002678904215940818,0.002712216575552521,0.006572399205305761,6,0.03125
0.09,imagenet,sinusoidal,6,0.9982970855259214,0.0011527510230936971,0.8609521837194971,0.020533767214448363,0.13734490180642417,0.021148192127304823,0.12192731647592146,0.15288600452685983,6,0.03125
0.09,imagenet,rope,6,0.9990471544946163,0.0004935189298450268,0.951597684013097,0.013388371128539519,0.04744947048151926,0.013730755527789814,0.03820046490055481,0.05817374055144218,6,0.03125
0.09,imagenet,alibi,6,0.9602214657078912,0.008068915354210879,0.833634171571128,0.020606336649528822,0.12658729413676326,0.02312225628959385,0.10741747999352323,0.13902654290089175,6,0.03125
0.09,cifar,learned,6,0.99977191288231,0.0008657013308063643,0.9844033010103539,0.012494433017873773,0.015368611871956076,0.012234163280461964,0.007170613064277409,0.02435241868563322,6,0.03125
0.09,cifar,sinusoidal,6,0.9989324588292282,0.0009788270878465565,0.9583963797814944,0.004302538365493355,0.04053607904773373,0.0043542950378376456,0.0378931145701746,0.044059424648365354,6,0.03125
0.09,cifar,rope,6,0.9988302694115347,0.0004587746355661976,0.9901530881252483,0.005983662397823063,0.008677181286286547,0.005987017751070551,0.004418898467383155,0.013066753580122048,6,0.03125
0.09,cifar,alibi,6,0.9935255412556439,0.0009932277883860589,0.973250006370313,0.004613995955178873,0.02027553488533092,0.003731678333244312,0.017455434785278445,0.022908264555196494,6,0.03125
0.095,imagenet,learned,6,0.9978128660038554,0.0012102537657745136,0.9930108391754283,0.0025325718060284484,0.0048020268284271195,0.0027974310638592135,0.0029164919233611863,0.00693531978334494,6,0.03125
0.095,imagenet,sinusoidal,6,0.9982137599709949,0.0012229525548556816,0.8314181941919498,0.02391442130182021,0.1667955657790451,0.02452627899461059,0.14902013722990012,0.18473059417489748,6,0.03125
0.095,imagenet,rope,6,0.998990090226429,0.0004985584986950244,0.9426550715441885,0.01631310927363088,0.056335018682240535,0.016667856570857172,0.04509342536435185,0.06928154477061377,6,0.03125
0.095,imagenet,alibi,6,0.9562545712518832,0.009056628662736791,0.8157889409432828,0.02116878313583971,0.14046563030860035,0.024270965441564152,0.1203657059263135,0.15355591428256896,6,0.03125
0.095,cifar,learned,6,0.9997470774758314,0.0009139076816990281,0.9813996431434885,0.014604512167797744,0.018347434332342722,0.014412479282966267,0.008518668122603454,0.02848677006598736,6,0.03125
0.095,cifar,sinusoidal,6,0.9988316948065156,0.0009825146107996586,0.9540030800342388,0.004198181237164495,0.04482861477227686,0.004250844474757063,0.04217740776135368,0.04824898851851752,6,0.03125
0.095,cifar,rope,6,0.9987407815383177,0.00046773225075627344,0.988731704848016,0.0068812831701822496,0.010009076690301785,0.006891317741355351,0.005158625296619257,0.015025646276433121,6,0.03125
0.095,cifar,alibi,6,0.9929150119011579,0.001117425370198884,0.9702177679350651,0.00496900154892395,0.022697243966093,0.003968607050884177,0.01975353332288306,0.02555374256828946,6,0.03125
