dataset,pe_family,seed,noise_max_rho,adversarial_max_rho,noise_nauc_0p09,adversarial_nauc_0p09,gap_0p09,adversarial_raw_nauc_0p09,gap_raw_0p09,noise_nauc_0p095,adversarial_nauc_0p095,gap_0p095,adversarial_raw_nauc_0p095,gap_raw_0p095,noise_nauc_0p23,adversarial_nauc_0p23,gap_0p23
imagenet,learned,42,0.12811379442870874,0.25148879393004375,0.9993493678320884,0.9968174484678705,0.002531919364217927,0.9969772051190293,0.0023721627130590672,0.9992136407318448,0.9964356387277449,0.0027780020040999442,0.9965869871341059,0.0026266535977389482,,,
imagenet,learned,123,0.12630495976217512,0.17393032798566513,0.9970611620114409,0.9940229094993768,0.0030382525120641324,0.9940229094993768,0.0030382525120641324,0.9968714169719237,0.9935881755048976,0.0032832414670260768,0.9935881755048976,0.0032832414670260768,,,
imagenet,learned,456,0.11555340846587006,0.2072542416193139,0.9985376987467891,0.9895390866748879,0.008998612071901224,0.9895390866748879,0.008998612071901224,0.9984172346495928,0.9890072484589433,0.009409986190649477,0.9890072484589433,0.009409986190649477,,,
imagenet,learned,789,0.13833401854664648,0.24343751236767738,0.9990822711303889,0.9929628237163449,0.006119447414044021,0.9929628237163449,0.006119447414044021,0.9990312552169754,0.9924050718237275,0.006626183393247942,0.9924050718237275,0.006626183393247942,,,
imagenet,learned,1011,0.13155153246648657,0.16570626423074564,0.9969846313185845,0.9925176163272259,0.004467014991358598,0.9925717679502862,0.00441286336829827,0.9967752368928218,0.9920054471266844,0.0047697897661374,0.9920567486643205,0.004718488228501294,,,
imagenet,learned,1213,0.12891440606242285,0.18344720973461706,0.9968611789338218,0.9950090823230935,0.001852096610728271,0.9950090823230935,0.001852096610728271,0.9965684115599741,0.9946234534105722,0.0019449581494018764,0.9946234534105722,0.0019449581494018764,,,
imagenet,sinusoidal,42,0.18115542909399895,0.09867487214415757,0.999262728054746,0.8316441745649578,0.16761855348978827,0.8316441745649578,0.16761855348978827,0.9992745012142001,0.7987557213477745,0.20051877986642563,0.7987557213477745,0.20051877986642563,,,
imagenet,sinusoidal,123,0.18051163740030665,0.09746627733932789,0.998660953166876,0.8666249342912618,0.13203601887561423,0.8666249342912618,0.13203601887561423,0.9986145666459408,0.8373241998745973,0.16129036677134356,0.8373317160904121,0.1612828505555287,,,
imagenet,sinusoidal,456,0.18342490041843998,0.09835189798621874,0.9982076348589044,0.890631110486608,0.10757652437229637,0.890631110486608,0.10757652437229637,0.9980852295009793,0.8682026058859639,0.12988262361501546,0.8682026058859639,0.12988262361501546,,,
imagenet,sinusoidal,789,0.18468987134887838,0.10188481685349114,0.9963517954402501,0.8736307076978553,0.12272108774239476,0.8736307076978553,0.12272108774239476,0.9961813537201296,0.8438045683504033,0.15237678536972632,0.8438045683504033,0.15237678536972632,,,
imagenet,sinusoidal,1011,0.18656388633628007,0.09574811439212834,0.9977726376993984,0.8519029982246987,0.14586963947469966,0.8519029982246987,0.14586963947469966,0.9976146448070489,0.8203894247668579,0.17722522004019092,0.8203894247668579,0.17722522004019092,,,
imagenet,sinusoidal,1213,0.1805925295301252,0.09826531099701107,0.9995267639353536,0.8512791770516018,0.14824758688375173,0.8512791770516018,0.14824758688375173,0.999512263937671,0.8200326449261022,0.17947961901156884,0.8200326449261022,0.17947961901156884,,,
imagenet,rope,42,0.4001870282555096,0.17690151138693405,0.9983812689412551,0.959711205535455,0.03867006340580015,0.959711205535455,0.03867006340580015,0.9983269758372614,0.9534112835206386,0.044915692316622735,0.9534112835206386,0.044915692316622735,,,
imagenet,rope,123,0.396541476866904,0.1441585463562157,0.9989982505897688,0.9464236776416138,0.05257457294815493,0.9464236776416138,0.05257457294815493,0.9989583151419235,0.9358958430451583,0.06306247209676519,0.9358958430451583,0.06306247209676519,,,
imagenet,rope,456,0.40085872274090306,0.14678083606675324,0.9993637222398736,0.9538732163793444,0.04549050586052916,0.9541884848397384,0.04517523740013518,0.9993213538116775,0.9444756587761721,0.054845695035505404,0.9447743341597032,0.05454701965197428,,,
imagenet,rope,789,0.4047039698917005,0.14962034156462223,0.9994950137860198,0.9287259134212968,0.07076910036472295,0.9287259134212968,0.07076910036472295,0.9994334246403571,0.9151449549154274,0.08428846972492976,0.9151449549154274,0.08428846972492976,,,
imagenet,rope,1011,0.39524297426945065,0.17046010676121465,0.998537575722687,0.9681547893529543,0.030382786369732684,0.9681547893529543,0.030382786369732684,0.9984539422784541,0.962823363487265,0.03563057879118903,0.962823363487265,0.03563057879118903,,,
imagenet,rope,1213,0.40959589556059023,0.15863692245894911,0.999507095688094,0.9526973017479183,0.046809793940175703,0.9526973017479183,0.046809793940175703,0.9994465296489007,0.9441793255204696,0.05526720412843111,0.9441793255204696,0.05526720412843111,,,
imagenet,alibi,42,0.21787596764873052,0.12049825139216758,0.9658759309043474,0.8225862769177744,0.143289653986573,0.8225862769177744,0.143289653986573,0.9627135231687184,0.8044986280524802,0.1582148951162382,0.8044986280524802,0.1582148951162382,,,
imagenet,alibi,123,0.21865059502338352,0.12307873248140365,0.9536826117957415,0.8260203908974497,0.12766222089829182,0.8260203908974497,0.12766222089829182,0.9487133592883173,0.8076091886334374,0.1411041706548799,0.8076091886334374,0.1411041706548799,,,
imagenet,alibi,456,0.21864292439652497,0.12231729742645932,0.9610248295588413,0.829885609014416,0.13113922054442528,0.829885609014416,0.13113922054442528,0.957071987622683,0.8116774429330671,0.14539454468961588,0.8116774429330671,0.14539454468961588,,,
imagenet,alibi,789,0.21778006964418428,0.12119486644812684,0.9731614247159069,0.8356413615470398,0.1375200631688671,0.8356413615470398,0.1375200631688671,0.9707380086007311,0.8174999535488171,0.153238055051914,0.8174999535488171,0.153238055051914,,,
imagenet,alibi,1011,0.21830429967774778,0.12332677005482341,0.9536447546752843,0.8145367432968117,0.13910801137847262,0.8145367432968117,0.13910801137847262,0.9491795231460761,0.796830948506171,0.15234857463990514,0.796830948506171,0.15234857463990514,,,
imagenet,alibi,1213,0.22380593787640285,0.12918397487392716,0.953939242597226,0.8731346477532762,0.08080459484394975,0.8731346477532762,0.08080459484394975,0.9491110256847736,0.8566174839857246,0.092493541699049,0.8566174839857246,0.092493541699049,,,
cifar,learned,42,0.38492863887196604,0.3196375642215253,0.9988947334615432,0.9923914092145177,0.006503324247025488,0.9923914092145177,0.006503324247025488,0.998829780598534,0.991705849198686,0.007123931399848016,0.991705849198686,0.007123931399848016,0.9961368479448067,0.6847741665666298,0.3113626813781769
cifar,learned,123,0.34382864759492227,0.2838939365615377,0.9996090352618292,0.9931098520293216,0.006499183232507644,0.9931330994297294,0.006475935832099822,0.9995397857018393,0.9924680942482562,0.007071691453583107,0.9924901181012743,0.007049667600565024,0.996119811040617,0.7940732418278018,0.20204656921281516
cifar,learned,456,0.33074285481058646,0.3109851047646963,1.0001811238425748,0.99423675702977,0.005944366812804858,0.99423675702977,0.005944366812804858,1.0001975295474905,0.9937798515486271,0.006417677998863391,0.9937798515486271,0.006417677998863391,0.9991430313921139,0.7496554294291747,0.24948760196293918
cifar,learned,789,0.35415062531549274,0.26670782489450057,0.9992768580152673,0.9708185105875705,0.028458347427696817,0.9708185105875705,0.028458347427696817,0.9992439588407388,0.9639446840570138,0.035299274783724965,0.9639446840570138,0.035299274783724965,0.9969141902438655,0.6543176639462143,0.34259652629765125
cifar,learned,1011,0.372300580512422,0.30438644276469023,1.001310788996821,0.989677534948807,0.011633254048013963,0.989677534948807,0.011633254048013963,1.0013707733086115,0.9843614348777318,0.017009338430879706,0.9843614348777318,0.017009338430879706,1.0019050783612107,0.6745204517342701,0.32738462662694057
cifar,learned,1213,0.3422756072476298,0.35188153501944736,0.9993589377158246,0.9661857422521369,0.03317319546368769,0.970829898685181,0.028529039030643633,0.9993006368577741,0.962137944930617,0.037162691927157154,0.9700189871658756,0.029281649691898504,0.9953933437693504,0.7059890441473884,0.289404299621962
cifar,sinusoidal,42,0.35970863477985804,0.2792557548679519,0.9983036251616295,0.9613801845870669,0.03692344057456265,0.9613801845870669,0.03692344057456265,0.9982179450366803,0.9576665135122194,0.040551431524460835,0.9576665135122194,0.040551431524460835,0.9917874459130362,0.7709015590682077,0.22088588684482857
cifar,sinusoidal,123,0.35994279190952827,0.27253475400233906,0.99851330669704,0.9497687658002039,0.04874454089683611,0.9497687658002039,0.04874454089683611,0.9983915658639909,0.9457300151636243,0.0526615507003666,0.9457300151636243,0.0526615507003666,0.9926183656171657,0.7873527033579676,0.20526566225919807
cifar,sinusoidal,456,0.35167528368788087,0.2641141946751578,1.0004728954159634,0.958860573422179,0.041612321993784396,0.958860573422179,0.041612321993784396,1.0003598775109135,0.9543171700833205,0.04604270742759298,0.9543171700833205,0.04604270742759298,0.9928823971846316,0.7509946715587366,0.241887725625895
cifar,sinusoidal,789,0.35055855109376016,0.27855996664606547,0.9990277918331315,0.9600928240779352,0.03893496775519634,0.9600928240779352,0.03893496775519634,0.9989505106674887,0.955499966091132,0.043450544576356775,0.955499966091132,0.043450544576356775,0.9930697252414268,0.791745731646104,0.20132399359532283
cifar,sinusoidal,1011,0.33159425455787916,0.23643111649684653,0.9977262583521515,0.9603122179174653,0.0374140404346861,0.9603122179174653,0.0374140404346861,0.9976048345604102,0.9553592500224505,0.04224558453795968,0.9553592500224505,0.04224558453795968,0.9908375540866046,0.6847734647758682,0.30606408931073636
cifar,sinusoidal,1213,0.35561754745299234,0.25841830605193844,0.9995508755154532,0.9599637128841164,0.03958716263133677,0.9599637128841164,0.03958716263133677,0.9994654351996102,0.9554455653326859,0.0440198698669243,0.9554455653326859,0.0440198698669243,0.9922278471730588,0.7627420424126334,0.22948580476042535
cifar,rope,42,0.507927848050885,0.4360857434927175,0.9991772965418089,0.9857511298610466,0.013426166680762242,0.9857511298610466,0.013426166680762242,0.9990856052346447,0.983537379375293,0.015548225859351783,0.983537379375293,0.015548225859351783,0.9954191966521516,0.685104343995895,0.3103148526562566
cifar,rope,123,0.48778007244841665,0.40250593445361504,0.9989471391786575,0.9942783541658271,0.004668785012830412,0.9949061597923599,0.004040979386297661,0.998838813329222,0.9931853486030771,0.005653464726144919,0.9937801118282134,0.005058701501008622,0.9939956481063515,0.7797331726873741,0.21426247541897747
cifar,rope,456,0.5062321353886347,0.4249712734156588,0.9991398416582412,0.9976128367143577,0.0015270049438834699,0.9978107472089651,0.0013290944492760914,0.9990824600385385,0.9972610774312417,0.0018213826072968065,0.9974485715840277,0.0016338884545108456,0.9963638922672118,0.9684411745524031,0.027922717714808698
cifar,rope,789,0.4944991501589667,0.3639902700664418,0.9984486628861791,0.9821820510263156,0.016266611859863445,0.9821820510263156,0.016266611859863445,0.9983664663911361,0.9795793339660213,0.018787132425114872,0.9795793339660213,0.018787132425114872,0.9944989682055719,0.6943700401340226,0.30012892807154934
cifar,rope,1011,0.5081395504928944,0.42521201937714925,0.998086593733194,0.9939478345642924,0.004138759168901607,0.9939478345642924,0.004138759168901607,0.9979769423520916,0.9934445763314818,0.0045323660206098015,0.9934445763314818,0.0045323660206098015,0.9939384395840938,0.9092040752562379,0.08473436432785586
cifar,rope,1213,0.48575019014590365,0.3805750851278891,0.9991820824711279,0.9871463224196498,0.012035760051478106,0.9871463224196498,0.012035760051478106,0.9990944018842733,0.9853825133809808,0.013711888503292524,0.9853825133809808,0.013711888503292524,0.9946931053651636,0.7103851701391188,0.2843079352260448
cifar,alibi,42,0.8555010062936219,0.6401676709543338,0.9947523140213715,0.9797534998758262,0.01499881414554538,0.9797534998758262,0.01499881414554538,0.9943032840497273,0.9770176029295807,0.017285681120146612,0.9770176029295807,0.017285681120146612,0.9698711516049827,0.8614863577130997,0.10838479389188305
cifar,alibi,123,0.8571751895089161,0.6452898734933252,0.9926380264841437,0.9724085027234151,0.020229523760728618,0.9724085027234151,0.020229523760728618,0.9918858457970455,0.9691972590030234,0.02268858679402208,0.9691972590030234,0.02268858679402208,0.9578884776101304,0.8426806920332861,0.1152077855768443
cifar,alibi,456,0.8537839352223475,0.6518733077430575,0.9922768345245675,0.967135817731687,0.0251410167928805,0.967135817731687,0.0251410167928805,0.9914961556438325,0.9632794106855728,0.028216744958259765,0.9632794106855728,0.028216744958259765,0.9549126705965312,0.8211640325519671,0.13374863804456405
cifar,alibi,789,0.8503919028418284,0.639529499189269,0.9933270357514179,0.9715498236528928,0.021777212098525123,0.9715498236528928,0.021777212098525123,0.9927738488195754,0.9687569676782823,0.02401688114129308,0.9687569676782823,0.02401688114129308,0.9688402207352401,0.8517880855652584,0.1170521351699817
cifar,alibi,1011,0.8530963842831746,0.6523238111736106,0.993617241903631,0.9710973474653994,0.022519894438231547,0.9710973474653994,0.022519894438231547,0.9930142009569095,0.9681758788875715,0.024838322069338004,0.9681758788875715,0.024838322069338004,0.9671025556433658,0.8486010373840188,0.11850151825934696
cifar,alibi,1213,0.8522208410526586,0.6370521726969348,0.994541794848732,0.9775550467726576,0.016986748076074365,0.9775550467726576,0.016986748076074365,0.9940167361398579,0.9748794884263594,0.01913724771349845,0.9748794884263594,0.01913724771349845,0.9662145565825557,0.8593401521183394,0.10687440446421637
