dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources
cifar,alibi,789,0.2,0.8503919028418284,0.3935698060457802,10,0.0032271091738841355,0.0808350378556528,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,alibi,1011,0.005,0.021845565220020492,0.998570681540875,10,0.0003208467835453089,0.0012960867811143016,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.01,0.043680399784369356,0.9957120446226251,10,0.0005987426841500644,0.0025934755732415103,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.025,0.10916989982853331,0.9775318110510719,10,0.0012804324478175831,0.010952706353301018,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.05,0.21830884216600133,0.9196095520306781,10,0.0027686377364146185,0.027902791383539884,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.075,0.32643404240842355,0.8255359944221718,10,0.004294284267115089,0.055122986400910894,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.1,0.4329384531623372,0.7153913195049677,10,0.0049565804615793315,0.08482102436227597,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.15,0.6432743520147685,0.5151821509499739,10,0.004591375422508687,0.12411769751621267,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1011,0.2,0.8530963842831746,0.3830747777584103,10,0.0038950297214753217,0.1237740197346954,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.005,0.021568409970633768,0.9993538246594481,10,0.0001677517659674938,0.0013628790090902119,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.01,0.04316382635482437,0.9962102689486553,10,0.00035898665792704915,0.0016487000828594156,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.025,0.10812957544057429,0.9808767027593432,10,0.001110072552394628,0.005672355626880903,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.05,0.21652069166749577,0.9135347537548025,10,0.0025147108544298306,0.026973559796434284,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.075,0.32391923161891045,0.8147223192455465,10,0.0030361690486897944,0.05717020038482894,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,alibi,1213,0.1,0.43026021302508666,0.6998777506112469,10,0.0029602117433390283,0.08441483882552622,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
