family,family_label,metric,vitb_mean,vitb_sd,vits_mean,vits_sd,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
learned,Learned,attack_nauc,0.99372210330700972,0.0024363586981921903,0.77511254640838645,0.071662878011305303,6,-0.21860955689862319,0.070813991659666731,-0.29292428354957445,-0.14429483024767192,6,0,0,0.03125,-0.32686233412265209,-0.12119110580025894
learned,Learned,noise_nauc,0.99806745449208167,0.0011007060383693506,0.99717329395350862,0.0012801175007671804,6,-0.00089416053857295974,0.0021137189278370512,-0.0031123725141678897,0.00132405143702197,3,3,0,0.375,-0.003803840634366451,0.0013889041469548058
learned,Learned,noise_minus_attack_gap,0.0043453511850719733,0.0026177110756817582,0.22206074754512226,0.072179764925212539,6,0.2177153963600503,0.072182047302303515,0.14196498336035518,0.29346580935974542,0,6,0,0.03125,0.11891881934741788,0.32783140481842488
sinusoidal,Sinusoidal,attack_nauc,0.87362852070880681,0.01807671359699509,0.71370454267092542,0.0198317018144843,6,-0.15992397803788141,0.023170517935132383,-0.18423994535385846,-0.13560801072190437,6,0,0,0.03125,-0.19707375985837583,-0.13108756888827344
sinusoidal,Sinusoidal,noise_nauc,0.99833579720173249,0.0011139870910548365,0.99906512587923713,0.0015638427932465418,6,0.00072932867750485908,0.0023694748061617952,-0.0017572826319169582,0.0032159399869266764,2,4,0,0.46875,-0.0031895796270549059,0.0034040799707787395
sinusoidal,Sinusoidal,noise_minus_attack_gap,0.12470727649292541,0.01867384658859739,0.2853605832083117,0.019241366903279863,6,0.16065330671538627,0.023557950709387432,0.13593075363804222,0.18537585979273033,0,6,0,0.03125,0.13334512641841967,0.19774420081758504
rope,RoPE,attack_nauc,0.95588911521374842,0.011945378158349824,0.86268514300295862,0.055722343050070969,6,-0.093203972210789951,0.063986932237446129,-0.16035413938837523,-0.026053805033204688,5,1,0,0.0625,-0.15798918082290447,0.014229700250262711
rope,RoPE,noise_nauc,0.99907716649088474,0.00049050088518458161,0.99920924544504863,0.00033150372046488065,6,0.00013207895416378346,0.00058192509024362112,-0.00047861397528755961,0.00074277188361512652,3,3,0,0.59375,-0.00065810477982131133,0.00088184728747331409
rope,RoPE,noise_minus_attack_gap,0.043188051277136319,0.012280507847617384,0.13652410244209004,0.055816872441872389,6,0.093336051164953734,0.064248676726721229,0.025911199991776795,0.16076090233813067,1,5,0,0.0625,-0.014393797766217298,0.15830254130453381
