dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources,architecture,source_index
imagenet,learned,789,0.040000000000000001,0.069766511861595396,0.9988615497612926,10,0.0022215737488234999,0.0021304960856337999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,4
imagenet,learned,789,0.050000000000000003,0.088397911046497996,0.99816378993756882,10,0.0023239612458090999,0.0019889921421559001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,5
imagenet,learned,789,0.059999999999999998,0.10618332966660569,0.99794344473007723,10,0.0022797691979170001,0.0022318325719335001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,6
imagenet,learned,789,0.080000000000000002,0.1383340185466464,0.99562982005141398,10,0.0019176716654329001,0.0018681676535717,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,7
imagenet,learned,1011,0.0025000000000000001,0.0036804076642526998,0.99923608584940005,10,0.0001219630024999,0.00040032918683679999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,0
imagenet,learned,1011,0.0050000000000000001,0.0073769247403557003,0.99883594034194245,10,0.0002393989686008,0.00053682414505099995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,1
imagenet,learned,1011,0.01,0.014996252400783901,0.99890869407057115,10,0.00046357361564869999,0.00074747350587709999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,2
imagenet,learned,1011,0.02,0.031428313162007802,0.99847217169879965,10,0.00083685283581599998,0.00074352902712520002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,3
imagenet,learned,1011,0.040000000000000001,0.066911736041372002,0.99559839941797024,10,0.0012054600791669,0.0014993663096543001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,4
imagenet,learned,1011,0.050000000000000003,0.084331298997675497,0.99363404874499817,10,0.0012222018384405,0.0017169640182498,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,5
imagenet,learned,1011,0.059999999999999998,0.1008946366910736,0.99236085849399802,10,0.0011625875182770999,0.0012832551526928001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,6
imagenet,learned,1011,0.080000000000000002,0.13155153246648649,0.98781375045471076,10,0.0010316389451003,0.0018804489413447999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,7
imagenet,learned,1213,0.0025000000000000001,0.0036267315107853999,1.0001453488372092,10,0.0002090051649458,0.00068945007125759995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,0
imagenet,learned,1213,0.0050000000000000001,0.0072633984429310997,1,10,0.0004222905819737,0.00090640925067189996,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,1
imagenet,learned,1213,0.01,0.0146976611118146,0.99978197674418601,10,0.00084201748894289997,0.00092562854527820004,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,2
imagenet,learned,1213,0.02,0.030409643821791701,0.99934593023255802,10,0.0015720507076748,0.00079978556294660005,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,3
imagenet,learned,1213,0.040000000000000001,0.064198969213339993,0.99484011627906965,10,0.0022173953510044998,0.0013246340227220999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,4
imagenet,learned,1213,0.050000000000000003,0.081137365569663694,0.99255087209302317,10,0.0022036440431335001,0.0015908340039442,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,5
imagenet,learned,1213,0.059999999999999998,0.097622841940851496,0.99073401162790697,10,0.0020974912579058,0.001415130989044,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,6
imagenet,learned,1213,0.080000000000000002,0.1289144060624228,0.98702761627906965,10,0.0018252737786870999,0.0019979958719944001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,7
imagenet,rope,42,0.025000000000000001,0.024309482018985099,0.99876796714579064,10,0.00046406572551470002,0.00056349938559099996,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,0
imagenet,rope,42,0.050000000000000003,0.048645453492108401,0.99811772758384676,10,0.00093998385974169995,0.00087252216180569995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,1
imagenet,rope,42,0.10000000000000001,0.097499167289336205,0.99726214921286804,10,0.0018947890697296999,0.0016688043393026999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,2
imagenet,rope,42,0.20000000000000001,0.196569347985318,0.99271047227926079,10,0.0037357309033973001,0.0021647616939786001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,3
imagenet,rope,42,0.40000000000000002,0.40018702825550961,0.96906228610540723,10,0.0064107693623374996,0.0031663336088213999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/noise_all_families.json,vitb_amp,4
imagenet,rope,123,0.025000000000000001,0.024227824770477,0.99934640522875795,10,0.00045813827540510001,0.0010055342859026999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,0
imagenet,rope,123,0.050000000000000003,0.048481251948079798,0.99883040935672518,10,0.00092122090226180004,0.0013874081836719001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,1
imagenet,rope,123,0.10000000000000001,0.097167750775432396,0.99817681458548324,10,0.0018514175777395001,0.0020643019795294,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,2
imagenet,rope,123,0.20000000000000001,0.19562081281906279,0.99511523907808719,10,0.0036205869590518998,0.0018260318071225,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,3
imagenet,rope,123,0.40000000000000002,0.396541476866904,0.97096663226694202,10,0.0061954384614652004,0.0035976550168598,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,4
imagenet,rope,456,0.025000000000000001,0.024460194994333301,0.99965694682675821,10,0.00043539223061729999,0.00062632653802759998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,0
imagenet,rope,456,0.050000000000000003,0.048910046406928899,0.99938250428816477,10,0.00086546425852890004,0.0011526223595978,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,1
imagenet,rope,456,0.10000000000000001,0.097921684334673298,0.9984562607204116,10,0.0017516505166487999,0.0016352601081846001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,2
imagenet,rope,456,0.20000000000000001,0.1973076689040697,0.99361921097770156,10,0.0034626445037517,0.0027596300750597001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,3
imagenet,rope,456,0.40000000000000002,0.40085872274090301,0.96480274442538605,10,0.0061750228227635999,0.0054582719781089998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,4
imagenet,rope,789,0.025000000000000001,0.02472437588665,0.99996592844974441,10,0.00049482438768210001,0.00058904270209599995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,0
imagenet,rope,789,0.050000000000000003,0.049522178347072801,0.9996252129471892,10,0.00099002763247240007,0.00061054764591539996,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,1
imagenet,rope,789,0.10000000000000001,0.099068836921588799,0.99812606473594523,10,0.0020111617756669001,0.0018046846771231999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,2
imagenet,rope,789,0.20000000000000001,0.1993650253306396,0.99403747870528103,10,0.0037876245603704999,0.0024895298372269001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,3
imagenet,rope,789,0.40000000000000002,0.40470396989170049,0.96913117546848382,10,0.0065735301367956999,0.0055782156476121003,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,4
imagenet,rope,1011,0.025000000000000001,0.0240511714824467,0.99917695473251023,10,0.00030796185683139998,0.00098600176739120009,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,0
