family,family_label,vitb_mean,vitb_sd,vits_mean,vits_sd,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
learned,Learned,79.200346420323328,0.48948686367820993,77.930138568129337,0.22117761327225949,6,-1.2702078521939935,0.66510095856047036,-1.9681885022363335,-0.57222720215165357,6,0,0,0.03125,-2.0785219399538022,-0.34642032332563133
sinusoidal,Sinusoidal,81.509815242494227,0.53814526219132086,78.536374133949195,0.50786986390759625,6,-2.9734411085450319,0.71159190549430074,-3.7202110152322465,-2.2266712018578172,6,0,0,0.03125,-4.0993071593533443,-2.1362586605080764
rope,RoPE,84.27636643571978,0.26998734282910081,82.823325635103927,0.32813561751461418,6,-1.4530408006158619,0.39526116403837624,-1.867841953224507,-1.0382396480072169,6,0,0,0.03125,-1.9341801385681379,-0.86605080831409964
