family,family_label,vitb_values_sorted,vits_values_sorted,vitb_range,vits_range,vitb_sd,vits_sd,sd_ratio_vits_over_vitb,loo_sd_ratio_min,loo_sd_ratio_max,single_seed_explanation_supported
learned,Learned,0.989817736;0.992785416;0.993251216;0.994252756;0.995211621;0.997013875,0.665923082;0.726683089;0.787939910;0.789047148;0.805259281;0.875822769,0.00719613899561522,0.20989968695181604,0.0024363586981922085,0.071662878011305275,29.413927458415515,19.93044121714944,47.272461930277927,False
sinusoidal,Sinusoidal,0.847694233;0.865113453;0.865860105;0.878458543;0.885037309;0.899607481,0.687714546;0.702533721;0.710676571;0.715882449;0.718048995;0.747370974,0.051913247800551288,0.059656428804912398,0.018076713596995087,0.01983170181448431,1.0970855796366081,0.61449233835771888,1.4848944249115554,
rope,RoPE,0.935318808;0.951484054;0.956866908;0.958277785;0.962770304;0.970616831,0.800288605;0.809034658;0.847639503;0.883483713;0.886115870;0.949548509,0.035298023122810385,0.1492599040535898,0.011945378158349906,0.055722343050070962,4.664761743948695,3.9190611912877347,5.7543638008257521,False
