family,family_label,metric,vitb_mean,vitb_sd,vits_mean,vits_sd,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta,attainable_p_step,attainable_p_floor,p_rung_index
learned,Learned,attack_nauc,0.99372210330700961,0.0024363586981921001,0.77511254640838645,0.071662878011305303,6,-0.2186095568986231,0.070813991659666703,-0.29292428354957439,-0.1442948302476719,6,0,0,0.03125,-0.32686233412265198,-0.12119110580025889,0.03125,0.03125,1
sinusoidal,Sinusoidal,attack_nauc,0.87362852070880681,0.018076713596995,0.71370454267092542,0.0198317018144843,6,-0.15992397803788139,0.0231705179351323,-0.1842399453538584,-0.13560801072190429,6,0,0,0.03125,-0.1970737598583758,-0.13108756888827339,0.03125,0.03125,1
rope,RoPE,attack_nauc,0.95588911521374842,0.0119453781583498,0.86268514300295862,0.055722343050070899,6,-0.093203972210789895,0.063986932237446101,-0.1603541393883752,-0.026053805033204602,5,1,0,0.0625,-0.15798918082290439,0.014229700250262701,0.03125,0.03125,2
