architecture,family,family_label,seed,clean_accuracy_percent,max_rho,min_accuracy,q80_status,q80_epsilon,q80_rho,q80_epsilon_left,q80_epsilon_right,q80_rho_left,q80_rho_right,q80_epsilon_bracket_width,q80_rho_bracket_abs_width,q50_status,q50_epsilon,q50_rho,q50_epsilon_left,q50_epsilon_right,q50_rho_left,q50_rho_right,q50_epsilon_bracket_width,q50_rho_bracket_abs_width,q20_status,q20_epsilon,q20_rho,q20_epsilon_left,q20_epsilon_right,q20_rho_left,q20_rho_right,q20_epsilon_bracket_width,q20_rho_bracket_abs_width,cliff_width_rho20_minus_rho80
vitb_amp,learned,Learned,42,79.44572748267899,0.2514887939300437,0.39861918604651159,IDENTIFIED,0.0021347222222222219,0.21375233592818543,0.002,0.0022499999999999998,0.2005369543674263,0.22506034283069071,0.00024999999999999979,0.024523388463264406,IDENTIFIED,0.0024168653158522049,0.24270031019140306,0.0022499999999999998,0.0025000000000000001,0.22506034283069071,0.2514887939300437,0.00025000000000000022,0.02642845109935299,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,42,77.800230946882223,0.11184532304847106,0.076808905380333942,IDENTIFIED,0.0050646108663729809,0.068380067861168334,0.0050000000000000001,0.0060000000000000001,0.065514063393420433,0.10987199617833691,0.001,0.044357932784916482,IDENTIFIED,0.0054603524229074893,0.085934345226124281,0.0050000000000000001,0.0060000000000000001,0.065514063393420433,0.10987199617833691,0.001,0.044357932784916482,IDENTIFIED,0.0058560939794419977,0.10348862259108021,0.0050000000000000001,0.0060000000000000001,0.065514063393420433,0.10987199617833691,0.001,0.044357932784916482,0.035108554729911881
vitb_amp,learned,Learned,123,79.763279445727477,0.1739303279856651,0.50814332247557004,IDENTIFIED,0.0021987841945288753,0.14893544744458995,0.002,0.0022499999999999998,0.13326648855470849,0.15297248043074441,0.00024999999999999979,0.019705991876035917,NOT_BRACKETED,,,,,,,,,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,123,77.684757505773675,0.099523853759162673,0.068376068376068369,IDENTIFIED,0.0045699570815450636,0.056512403933534246,0.0044999999999999997,0.0050000000000000001,0.054595764287848965,0.068294446418053642,0.00050000000000000044,0.013698682130204677,IDENTIFIED,0.0053904899135446688,0.076609697144531946,0.0050000000000000001,0.0060000000000000001,0.068294446418053642,0.089588852337522076,0.001,0.021294405919468434,IDENTIFIED,0.0066557874762808349,0.092846477092094176,0.0060000000000000001,0.0080000000000000002,0.089588852337522076,0.099523853759162673,0.002,0.0099350014216405963,0.036334073158559931
vitb_amp,learned,Learned,456,78.57967667436489,0.20725424161931391,0.74687729610580456,IDENTIFIED,0.0024224248927038625,0.19992432228251344,0.0022499999999999998,0.0025000000000000001,0.1836322332448394,0.20725424161931391,0.00025000000000000022,0.023622008374474507,NOT_BRACKETED,,,,,,,,,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,456,78.233256351039259,0.10250007858335218,0.068265682656826573,IDENTIFIED,0.0045485678704856782,0.05177527556419298,0.0044999999999999997,0.0050000000000000001,0.047116656604853799,0.095076541532409742,0.00050000000000000044,0.047959884927555943,IDENTIFIED,0.0048016811955168123,0.076053847448441417,0.0044999999999999997,0.0050000000000000001,0.047116656604853799,0.095076541532409742,0.00050000000000000044,0.047959884927555943,IDENTIFIED,0.0055072046109510085,0.098841793754213397,0.0050000000000000001,0.0060000000000000001,0.095076541532409742,0.10250007858335218,0.001,0.0074235370509424387,0.047066518190020418
vitb_amp,learned,Learned,789,78.608545034642034,0.2434375123676773,0.24605214836577299,IDENTIFIED,0.0017997088791848618,0.17484835092931797,0.00175,0.002,0.16810069620493581,0.2020365585449837,0.00025000000000000001,0.03393586234004789,IDENTIFIED,0.0021083333333333332,0.212555217757561,0.002,0.0022499999999999998,0.2020365585449837,0.22631038749708521,0.00024999999999999979,0.024273828952101506,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,789,78.002309468822176,0.10131931139064532,0.073649148778682449,IDENTIFIED,0.0050436828644501277,0.057129629514128213,0.0050000000000000001,0.0060000000000000001,0.055111123506289883,0.10131931139064532,0.001,0.046208187884355434,IDENTIFIED,0.0054583120204603581,0.076288891457380659,0.0050000000000000001,0.0060000000000000001,0.055111123506289883,0.10131931139064532,0.001,0.046208187884355434,IDENTIFIED,0.0058729411764705886,0.09544815340063309,0.0050000000000000001,0.0060000000000000001,0.055111123506289883,0.10131931139064532,0.001,0.046208187884355434,0.038318523886504877
vitb_amp,learned,Learned,1011,79.359122401847571,0.16570626423074561,0.69297926518734088,IDENTIFIED,0.0023489733059548256,0.15069634733872345,0.0022499999999999998,0.0025000000000000001,0.15444061912261639,0.1449828371788619,0.00025000000000000022,0.0094577819437544897,NOT_BRACKETED,,,,,,,,,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,1011,77.742494226327949,0.24749272810274703,0.047530634979576679,IDENTIFIED,0.0022013623978201628,0.18160706179310557,0,0.0030000000000000001,0,0.24749272810274703,0.0030000000000000001,0.24749272810274703,IDENTIFIED,0.003438125894134478,0.24498960282807575,0.0030000000000000001,0.0040000000000000001,0.24749272810274703,0.24177947237378303,0.001,0.0057132557289640007,IDENTIFIED,0.0040468619246861928,0.23933890999448346,0.0040000000000000001,0.0044999999999999997,0.24177947237378303,0.21573954341607787,0.00049999999999999958,0.026039928957705155,0.057731848201377889
vitb_amp,learned,Learned,1213,79.44572748267899,0.18344720973461701,0.37754360465116271,IDENTIFIED,0.0021275665399239541,0.12872465910925171,0.002,0.0022499999999999998,0.12153358217423089,0.1356263782540407,0.00024999999999999979,0.014092796079809802,IDENTIFIED,0.0024069060773480662,0.1472871245439735,0.0022499999999999998,0.0025000000000000001,0.1356263782540407,0.15420556028289489,0.00025000000000000022,0.018579182028854196,NOT_BRACKETED,,,,,,,,,
vits_amp,learned,Learned,1213,78.11778290993071,0.25756594688329382,0.021803399852180341,IDENTIFIED,0.004073546756529065,0.065838256313012058,0.0040000000000000001,0.0044999999999999997,0.033051920204609467,0.25594642742496387,0.00049999999999999958,0.22289450722035442,IDENTIFIED,0.0042445240101095195,0.14205803767842223,0.0040000000000000001,0.0044999999999999997,0.033051920204609467,0.25594642742496387,0.00049999999999999958,0.22289450722035442,IDENTIFIED,0.0044155012636899749,0.21827781904383237,0.0040000000000000001,0.0044999999999999997,0.033051920204609467,0.25594642742496387,0.00049999999999999958,0.22289450722035442,0.15243956273082032
vitb_amp,rope,RoPE,42,84.353348729792145,0.176901511386934,0.060232717316906201,IDENTIFIED,0.056862921348314603,0.10054416750160711,0.050000000000000003,0.059999999999999998,0.079531934560018197,0.11014897339108259,0.009999999999999995,0.030617038831064397,IDENTIFIED,0.06902080783353734,0.13469965876533363,0.059999999999999998,0.070000000000000007,0.11014897339108259,0.13736459069198231,0.010000000000000009,0.027215617300899719,IDENTIFIED,0.079440721649484541,0.15127440097166492,0.074999999999999997,0.080000000000000002,0.1438183980399742,0.1522134332619591,0.0050000000000000044,0.0083950352219848978,0.050730233470057812
vits_amp,rope,RoPE,42,83.083140877598154,0.1212689244789277,0.080958999305072971,IDENTIFIED,0.053377219840783835,0.055351032285771484,0.050000000000000003,0.074999999999999997,0.050394850474132898,0.087083177302808401,0.024999999999999994,0.036688326828675503,IDENTIFIED,0.066595223515003063,0.074748889838667038,0.050000000000000003,0.074999999999999997,0.050394850474132898,0.087083177302808401,0.024999999999999994,0.036688326828675503,IDENTIFIED,0.086963470319634709,0.10344238417064996,0.074999999999999997,0.10000000000000001,0.087083177302808401,0.1212689244789277,0.025000000000000008,0.034185747176119302,0.04809135188487848
vitb_amp,rope,RoPE,123,83.92032332563511,0.14415854635621569,0.067767457860337096,IDENTIFIED,0.055018404907975459,0.086378444490561743,0.050000000000000003,0.059999999999999998,0.076738277378934794,0.095947901329976298,0.009999999999999995,0.019209623951041505,IDENTIFIED,0.067394117647058827,0.10716910689823561,0.059999999999999998,0.070000000000000007,0.095947901329976298,0.11112375611600719,0.010000000000000009,0.015175854786030896,IDENTIFIED,0.079338181818181822,0.12193223743037843,0.074999999999999997,0.080000000000000002,0.1165356714549196,0.1227555190796102,0.0050000000000000044,0.0062198476246906054,0.035553792939816684
vits_amp,rope,RoPE,123,83.05427251732101,0.12804234538442083,0.070212026416405976,IDENTIFIED,0.053706293706293713,0.067979737179706304,0.050000000000000003,0.074999999999999997,0.062173487129263863,0.10133828699781422,0.024999999999999994,0.039164799868550357,IDENTIFIED,0.066280594405594404,0.087678535994709678,0.050000000000000003,0.074999999999999997,0.062173487129263863,0.10133828699781422,0.024999999999999994,0.039164799868550357,IDENTIFIED,0.085368338557993736,0.11241335572680498,0.074999999999999997,0.10000000000000001,0.10133828699781422,0.12804234538442083,0.025000000000000008,0.026704058386606611,0.04443361854709868
vitb_amp,rope,RoPE,456,84.151270207852193,0.14678083606675321,0.062435677530017102,IDENTIFIED,0.05525354969574036,0.089690331491439484,0.050000000000000003,0.059999999999999998,0.079575364254518596,0.098828950539468399,0.009999999999999995,0.019253586284949803,IDENTIFIED,0.06679936305732484,0.10864755735230899,0.059999999999999998,0.070000000000000007,0.098828950539468399,0.1132694308169014,0.010000000000000009,0.014440480277432999,IDENTIFIED,0.07825,0.12346320301235285,0.074999999999999997,0.080000000000000002,0.1191714425983529,0.12577415092758359,0.0050000000000000044,0.0066027083292306971,0.033772871520913364
vits_amp,rope,RoPE,456,82.419168591224022,0.10646703102864417,0.098423817863397531,IDENTIFIED,0.054098618090452258,0.054326935837639027,0.050000000000000003,0.074999999999999997,0.048539103237523404,0.083842664537845557,0.024999999999999994,0.035303561300322153,IDENTIFIED,0.067548680904522609,0.073320340519627672,0.050000000000000003,0.074999999999999997,0.048539103237523404,0.083842664537845557,0.024999999999999994,0.035303561300322153,IDENTIFIED,0.089211309523809526,0.096703539537079289,0.074999999999999997,0.10000000000000001,0.083842664537845557,0.10646703102864417,0.025000000000000008,0.022624366490798617,0.042376603699440261
vitb_amp,rope,RoPE,789,84.728637413394921,0.1496203415646222,0.0579216354344122,IDENTIFIED,0.053327895595432301,0.080181142968147864,0.050000000000000003,0.059999999999999998,0.073490619135752805,0.093594987318390901,0.009999999999999995,0.020104368182638097,IDENTIFIED,0.065075349838536065,0.10296092570559548,0.059999999999999998,0.070000000000000007,0.093594987318390901,0.1120487662403698,0.010000000000000009,0.0184537789219789,IDENTIFIED,0.0759903381642512,0.11935298076759075,0.074999999999999997,0.080000000000000002,0.1177914926795318,0.12567510327046361,0.0050000000000000044,0.0078836105909318027,0.039171837799442888
vits_amp,rope,RoPE,789,83.05427251732101,0.13858794456698123,0.071949947862356617,IDENTIFIED,0.055039298669891171,0.081588608024614595,0.050000000000000003,0.074999999999999997,0.074058939982233896,0.11141368186015138,0.024999999999999994,0.037354741877917486,IDENTIFIED,0.068084945586457071,0.10108127895256538,0.050000000000000003,0.074999999999999997,0.074058939982233896,0.11141368186015138,0.024999999999999994,0.037354741877917486,IDENTIFIED,0.088100775193798456,0.12565383813132733,0.074999999999999997,0.10000000000000001,0.11141368186015138,0.13858794456698123,0.025000000000000008,0.027174262706829849,0.044065230106712733
vitb_amp,rope,RoPE,1011,84.180138568129337,0.17046010676121459,0.054526748971193403,IDENTIFIED,0.05557588357588357,0.10505250967858865,0.050000000000000003,0.059999999999999998,0.087784177263636201,0.11875385620320419,0.009999999999999995,0.030969678939567993,IDENTIFIED,0.066606786427145709,0.13074854580108725,0.059999999999999998,0.070000000000000007,0.11875385620320419,0.13690896039818731,0.010000000000000009,0.018155104194983118,IDENTIFIED,0.077718354430379749,0.14698608626046486,0.074999999999999997,0.080000000000000002,0.143679743601142,0.14976125862061829,0.0050000000000000044,0.0060815150194762913,0.041933576581876214
vits_amp,rope,RoPE,1011,82.938799076212476,0.12239400296280072,0.074834667594848581,IDENTIFIED,0.053897660818713451,0.067072898525567623,0.050000000000000003,0.074999999999999997,0.061511523058702292,0.097182761049473973,0.024999999999999994,0.035671237990771681,IDENTIFIED,0.066498538011695904,0.085052454095302196,0.050000000000000003,0.074999999999999997,0.061511523058702292,0.097182761049473973,0.024999999999999994,0.035671237990771681,IDENTIFIED,0.085953125000000005,0.10822843641275025,0.074999999999999997,0.10000000000000001,0.097182761049473973,0.12239400296280072,0.025000000000000008,0.025211241913326743,0.041155537887182625
vitb_amp,rope,RoPE,1213,84.324480369515015,0.15863692245894909,0.065730914070523797,IDENTIFIED,0.056145228215767631,0.091079559434548402,0.050000000000000003,0.059999999999999998,0.075327815777391199,0.1009602953275255,0.009999999999999995,0.025632479550134299,IDENTIFIED,0.067749719416386078,0.11541998260086521,0.059999999999999998,0.070000000000000007,0.1009602953275255,0.11961863183809129,0.010000000000000009,0.018658336510565796,IDENTIFIED,0.079132716049382712,0.13434320954415011,0.074999999999999997,0.080000000000000002,0.12880778342058749,0.13550486357008071,0.0050000000000000044,0.0066970801494932175,0.043263650109601703
vits_amp,rope,RoPE,1213,82.390300230946877,0.12187545140730031,0.074281709880868962,IDENTIFIED,0.054261083743842364,0.061441547207698358,0.050000000000000003,0.074999999999999997,0.055497388450290404,0.090372077113695465,0.024999999999999994,0.034874688663405061,IDENTIFIED,0.067441502463054193,0.07982806717913149,0.050000000000000003,0.074999999999999997,0.055497388450290404,0.090372077113695465,0.024999999999999994,0.034874688663405061,IDENTIFIED,0.087610497237569057,0.10626300569383978,0.074999999999999997,0.10000000000000001,0.090372077113695465,0.12187545140730031,0.025000000000000008,0.031503374293604849,0.044821458486141427
vitb_amp,sinusoidal,Sinusoidal,42,81.812933025404163,0.098674872144157502,0.022582921665490401,IDENTIFIED,0.0071464387464387465,0.06432150468031976,0.0070000000000000001,0.0080000000000000002,0.061932707647302201,0.078245309954484393,0.001,0.016312602307182192,IDENTIFIED,0.0083495821727019495,0.081447673793417205,0.0080000000000000002,0.0089999999999999993,0.078245309954484393,0.087405856712865895,0.00099999999999999915,0.009160546758381502,IDENTIFIED,0.0098496674057649662,0.092808236909902392,0.0089999999999999993,0.01,0.087405856712865895,0.093764086015745499,0.0010000000000000009,0.0063582293028796033,0.028486732229582631
vits_amp,sinusoidal,Sinusoidal,42,78.724018475750583,0.091049149211789304,0.048404840484048396,IDENTIFIED,0.0060482946793997266,0.044665759073986296,0.0060000000000000001,0.0070000000000000001,0.043801774959056537,0.061691615530907414,0.001,0.017889840571850876,IDENTIFIED,0.0071169902912621361,0.063759990280169515,0.0070000000000000001,0.0074999999999999997,0.061691615530907414,0.070531557405347112,0.00049999999999999958,0.0088399418744396982,IDENTIFIED,0.0079960187353629985,0.078317632670658124,0.0074999999999999997,0.0080000000000000002,0.070531557405347112,0.078380127136904718,0.00050000000000000044,0.0078485697315576058,0.033651873596671829
vitb_amp,sinusoidal,Sinusoidal,123,81.408775981524244,0.097466277339327806,0.019858156028368702,IDENTIFIED,0.0067343096234309622,0.068204030920327591,0.0060000000000000001,0.0070000000000000001,0.047830075028697197,0.075575804134678196,0.001,0.027745729105980999,IDENTIFIED,0.0079944674965421857,0.088028537927257636,0.0070000000000000001,0.0080000000000000002,0.075575804134678196,0.088097816001208001,0.001,0.012522011866529806,IDENTIFIED,0.0098674351585014402,0.096960960753428721,0.0089999999999999993,0.01,0.093654432658741196,0.097466277339327806,0.0010000000000000009,0.0038118446805866096,0.02875692983310113
vits_amp,sinusoidal,Sinusoidal,123,78.666281755196309,0.089580914834702693,0.14568807339449541,IDENTIFIED,0.0070814393939393934,0.047017746995512644,0.0070000000000000001,0.0074999999999999997,0.045196570387334246,0.056377747702662226,0.00049999999999999958,0.011181177315327979,IDENTIFIED,0.0083335616438356165,0.071234385513579523,0.0080000000000000002,0.0085000000000000006,0.065678407426689317,0.074006670267407704,0.00050000000000000044,0.0083282628407183867,IDENTIFIED,0.0096354679802955669,0.086742101663575835,0.0094999999999999998,0.01,0.085687137309440858,0.089580914834702693,0.00050000000000000044,0.0038937775252618351,0.039724354668063191
vitb_amp,sinusoidal,Sinusoidal,456,81.206697459584291,0.098351897986218698,0.0184856025595449,IDENTIFIED,0.0076973568281938328,0.073930495301928759,0.0070000000000000001,0.0080000000000000002,0.054955710218017297,0.082165288323184094,0.001,0.027209578105166797,IDENTIFIED,0.0089992927864214981,0.092649078051983969,0.0080000000000000002,0.0089999999999999993,0.082165288323184094,0.092656497577623606,0.00099999999999999915,0.010491209254439512,IDENTIFIED,0.013118598382749324,0.098153872666754183,0.01,0.02,0.098351897986218698,0.097716916192603004,0.01,0.00063498179361569373,0.024223377364825424
