scope,scope_key,support_multiplier,rho_endpoint,architecture,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,42,0.99701387461071189,0.99941753141886391,0.0024036568081520215
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,123,0.99425275632162236,0.99716264539541455,0.0029098890737921934
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,456,0.98981773561509667,0.99860041747311079,0.0087826818580141186
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,789,0.99325121635028746,0.9991101283551943,0.0058589120049068466
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,1011,0.99278541598128889,0.99709659716530441,0.0043111811840155223
cross,all,1,0.087345571591429264,vitb_amp,learned,Learned,1213,0.9952116209630506,0.99701740714460174,0.0018057861815511389
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,42,0.84769423316708181,0.99924739175692812,0.1515531585898463
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,123,0.87845854334250539,0.99867984626341189,0.12022130292090649
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,456,0.8996074809676331,0.99826852757057816,0.098661046602945057
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,789,0.88503730881105425,0.99643902732900735,0.11140171851795311
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,1011,0.8658601049963337,0.99785265164177661,0.13199254664544291
cross,all,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,1213,0.86511345296823272,0.99952733864869137,0.13441388568045864
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,42,0.9627703038638602,0.9984105813556251,0.035640277491764905
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,123,0.95148405401624814,0.9990197482907115,0.047535694274463358
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,456,0.95827778533789787,0.99938598810496648,0.041108202767068613
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,789,0.93531880831832059,0.99952705673448317,0.064208248416162572
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,1011,0.97061683144113076,0.99858182235632953,0.027964990915198773
cross,all,1,0.087345571591429264,vitb_amp,rope,RoPE,1213,0.9568669083050334,0.9995378021031931,0.042670893798159693
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,42,0.87582276881045296,0.99714524496602286,0.1213224761555699
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,123,0.80525928112279288,0.99761977527635737,0.19236049415356449
cross,all,1,0.087345571591429264,vits_amp,learned,Learned,456,0.78904714803902976,0.99479657683874434,0.20574942879971458
