contrast,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
learned_minus_sinusoidal,6,-0.058685578860741827,0.079002506342367579,-0.14159362465753092,0.024222466936047266,5,1,0,0.15625,-0.17688467853529488,0.038788581717503323
learned_minus_rope,6,-0.12540558468783328,0.1047458296654615,-0.23532959146924265,-0.015481577906423905,5,1,0,0.0625,-0.23972921610402453,0.032544539633781899
sinusoidal_minus_rope,6,-0.066720005827091464,0.063440849299795668,-0.13329709410756724,-0.00014291754661568956,6,0,0,0.03125,-0.18859043837795553,-0.0062440420837214239
