family,family_label,metric,vitb_mean,vits_mean,paired_ci95_low,paired_ci95_high,mean_delta_vits_minus_vitb,welch_df,welch_ci95_low,welch_ci95_high,paired_welch_same_direction
learned,Learned,attack_nauc,0.9937221033070095,0.77511254640838623,-0.29292428354957439,-0.1442948302476719,-0.21860955689862327,5.0115582846497828,-0.29380641545379338,-0.14341269834345316,True
learned,Learned,noise_nauc,0.99806745449208167,0.99717329395350862,-0.0031123725141677999,0.0013240514370218999,-0.00089416053857305222,9.780344723513549,-0.0024345558173184271,0.00064623474017232283,True
learned,Learned,noise_minus_attack_gap,0.0043453511850719334,0.22206074754512217,0.1419649833603551,0.29346580935974542,0.21771539636005025,5.013152603957538,0.141977355582176,0.29345343713792449,True
sinusoidal,Sinusoidal,attack_nauc,0.87362852070880681,0.71370454267092542,-0.1842399453538584,-0.13560801072190429,-0.15992397803788139,9.9153580015121285,-0.18436137392115454,-0.13548658215460824,True
sinusoidal,Sinusoidal,noise_nauc,0.99833579720173216,0.99906512587923701,-0.0017572826319169001,0.0032159399869266,0.00072932867750485908,9.0352650806741046,-0.0010428199881590951,0.002501477343168813,True
sinusoidal,Sinusoidal,noise_minus_attack_gap,0.12470727649292539,0.28536058320831165,0.13593075363804219,0.1853758597927303,0.16065330671538625,9.9910502199089617,0.13626023374993634,0.18504637968083615,True
rope,RoPE,attack_nauc,0.95588911521374842,0.86268514300295862,-0.1603541393883752,-0.026053805033204602,-0.093203972210789798,5.4585902622302331,-0.151529478181857,-0.034878466239722593,True
rope,RoPE,noise_nauc,0.99907716649088485,0.99920924544504841,-0.00047861397528749998,0.00074277188361509996,0.00013207895416356141,8.7792080383590303,-0.00041676620050436946,0.00068092410883149228,True
rope,RoPE,noise_minus_attack_gap,0.043188051277136263,0.13652410244208998,0.025911199991776698,0.16076090233813059,0.093336051164953721,5.4829311544886608,0.034913488999079416,0.15175861333082802,True
