seed,learned_delta,sinusoidal_delta,rope_delta,learned_rank,sinusoidal_rank,rope_rank,ascending_order,matches_modal_order
42,-0.12119110580025889,-0.1599796875177622,-0.15373564543404081,3,1,2,sinusoidal < rope < learned,False
123,-0.18899347519882939,-0.13108756888827339,-0.065368183917400499,1,2,3,learned < sinusoidal < rope,True
456,-0.20077058757606689,-0.1970737598583758,-0.15798918082290439,1,2,3,learned < sinusoidal < rope,True
789,-0.20531130647770349,-0.17436073812769279,0.014229700250262701,1,2,3,learned < sinusoidal < rope,True
1011,-0.32686233412265198,-0.14997765558735721,-0.087133118018627498,1,2,3,learned < sinusoidal < rope,True
1213,-0.26852853221622841,-0.1470644582478268,-0.109227405322029,1,2,3,learned < sinusoidal < rope,True
