contrast,n,mean_delta_vits_minus_vitb,sd_delta,ci95_t_low,ci95_t_high,negative_deltas,positive_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta,dominant_sign,same_sign_seeds,same_sign_fraction
learned_minus_sinusoidal,6,-0.058685578860741799,0.079002506342367496,-0.14159362465753089,0.0242224669360472,5,1,0,0.15625,-0.1768846785352948,0.038788581717503302,negative,5,0.83333333333333337
learned_minus_rope,6,-0.12540558468783319,0.1047458296654615,-0.23532959146924259,-0.015481577906423899,5,1,0,0.0625,-0.23972921610402451,0.032544539633781802,negative,5,0.83333333333333337
sinusoidal_minus_rope,6,-0.066720005827091394,0.063440849299795599,-0.13329709410756721,-0.00014291754661560001,6,0,0,0.03125,-0.1885904383779555,-0.0062440420837213996,negative,6,1
