architecture,family,attack_nauc_mean,attack_nauc_sd,noise_nauc_mean,noise_nauc_sd,gap_mean,gap_sd
vitb_amp,learned,0.99372210330700961,0.0024363586981922098,0.99806745449208156,0.0011007060383693456,0.0043453511850719733,0.0026177110756817582
vitb_amp,rope,0.95588911521374842,0.011945378158349833,0.99907716649088485,0.00049050088518462118,0.043188051277136319,0.012280507847617382
vitb_amp,sinusoidal,0.87362852070880681,0.01807671359699509,0.99833579720173227,0.0011139870910548595,0.12470727649292541,0.01867384658859739
vits_amp,learned,0.77511254640838645,0.071662878011305331,0.99717329395350873,0.0012801175007671726,0.22206074754512226,0.072179764925212539
vits_amp,rope,0.86268514300295862,0.055722343050070969,0.99920924544504863,0.00033150372046487474,0.13652410244209004,0.055816872441872389
vits_amp,sinusoidal,0.71370454267092542,0.0198317018144843,0.99906512587923713,0.001563842793246545,0.2853605832083117,0.019241366903279863
