dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,learned,789,0.00050000000000000001,0.033618984202980699,0.99669482188762404,0.97775146169587956,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,1
imagenet,learned,789,0.00075000000000000002,0.061390970707639297,0.98971722365038561,1.0001815845258537,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,2
imagenet,learned,789,0.001,0.091877431700263107,0.98273962541314719,1.0389447209425271,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_456_789.json,densification,vitb_amp,3
imagenet,learned,789,0.00125,0.1186489162931178,0.97025339698861557,1.0971484117209911,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,4
imagenet,learned,789,0.0015,0.1397179164833636,0.94858611825192796,1.1816174027044326,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,5
imagenet,learned,789,0.00175,0.16810069620493581,0.85016525890561878,1.4852509739808739,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,6
imagenet,learned,789,0.002,0.2020365585449837,0.59786999632757987,2.3162737146019934,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,7
imagenet,learned,789,0.0022499999999999998,0.22631038749708521,0.37201615864854931,3.1222975842654703,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,8
imagenet,learned,789,0.0025000000000000001,0.2434375123676773,0.24605214836577299,3.5913335397839545,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_learned.json,base,vitb_amp,9
imagenet,learned,1011,0.00025000000000000001,0.0089020820352663996,0.99818115678428521,0.91593246012926099,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,0
imagenet,learned,1011,0.00050000000000000001,0.019874841014774901,0.99854492542742845,0.92590100918896501,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,1
imagenet,learned,1011,0.00075000000000000002,0.035697388157926203,0.99381593306656979,0.93678292599506685,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,2
imagenet,learned,1011,0.001,0.061719876101409797,0.99017824663513998,0.95187545921653505,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,3
imagenet,learned,1011,0.00125,0.1162511026332468,0.97708257548199362,0.99163679829798645,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,4
imagenet,learned,1011,0.0015,0.1347393602392489,0.95780283739541638,1.0522151485551148,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,5
imagenet,learned,1011,0.00175,0.1527151290841689,0.94106947981084044,1.1109807181172071,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,6
imagenet,learned,1011,0.002,0.16570626423074561,0.92433612222626416,1.1637991027906538,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,7
imagenet,learned,1011,0.0022499999999999998,0.15444061912261639,0.87013459439796303,1.340670898836106,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,8
imagenet,learned,1011,0.0025000000000000001,0.1449828371788619,0.69297926518734088,1.972321488149464,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_learned.json,base,vitb_amp,9
imagenet,learned,1213,0.00025000000000000001,0.0122551083761521,0.9996366279069766,0.95996038098819558,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,0
imagenet,learned,1213,0.00050000000000000001,0.0265945095812254,0.99709302325581384,0.97123077469877883,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,1
imagenet,learned,1213,0.00075000000000000002,0.044416467025212597,0.99600290697674421,0.98340755919925882,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,2
imagenet,learned,1213,0.001,0.1137108695827629,0.9840116279069766,1.0197002629283816,analysis/v18_canonical_pipeline/inputs/densification/imagenet_learned_seeds_1011_1213.json,densification,vitb_amp,3
