dataset,pe_type,seed,n_random_directions,task_rho_rel_heldout,random_rho_rel_heldout_median,task_delta_ce,random_delta_ce_median,task_damage_efficiency_actual_rho,random_damage_efficiency_actual_rho_median,damage_efficiency_gap_task_minus_random,task_functional_gain,random_functional_gain_median,task_to_random_functional_gain_ratio,task_calibration_rho_rel,random_calibration_rho_rel_median,source_file,checkpoint_path,checkpoint_sha256,checkpoint_digest_status
imagenet,learned,42,32,0.025840754435131393,0.02966453782533398,0.007817420177161694,0.003757877741008997,0.30252290802058174,0.12600357764965509,0.17651933037092665,30.74886221525759,2.8223274120131334,10.894860066332553,0.029505718604478856,0.030517611958328188,imagenet_seeds_42_123.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed42/best_model.pth,7fcca75916c2d6f0f64aa5c381812ad3a305ba1a04672e9288f4251ab683c536,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,learned,123,32,0.026294059991507086,0.029805073485377122,0.020550528541207314,0.007765566930174828,0.7815654390324309,0.2594555287177334,0.5221099103146976,31.942242623775396,2.773112267526588,11.518553719523778,0.029835511745032284,0.030782830400666032,imagenet_seeds_42_123.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed123/best_model.pth,fbb8d70f72fb6ee1bb93b1d00cca663ffb222f489d16d8149f2e01efd65c351e,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,learned,456,32,0.02709015527015006,0.030433478892396386,0.09531475882977247,0.01233416865579784,3.5184279262805607,0.40571573666619054,3.11271218961437,13.604580666282766,2.627899465218477,5.176979122050134,0.029835931232115306,0.030643656688073194,imagenet_seeds_456_789.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed456/best_model.pth,214c157417326a6c452a51aed95e312a1eb709094595145e25c994ad05a0f3ee,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,learned,789,32,0.02790444864372131,0.030324877650821678,0.023200953379273415,-0.0012001758441329002,0.8314428167171038,-0.03912328007155595,0.8705660967886598,32.25586539450788,2.7990478054138217,11.5238708435489,0.03057024848632167,0.03121260103133943,imagenet_seeds_456_789.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed789/best_model.pth,1ea21524c9da28c375071e41bd692a7f909328409ce56618dab4d8affabb93c6,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,learned,1011,32,0.02832343616130626,0.03010361354129319,0.010997449979186058,0.0028850757516920567,0.38828092455145324,0.09612594146129656,0.2921549830901567,39.4847831847973,2.7948269817699227,14.127809500319112,0.03134584396446795,0.030951862569477226,imagenet_seeds_1011_1213.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed1011/best_model.pth,353f600f5e5ae8fb87649b9f5c1c5a5b0fe1343f3236a994b5a9e270a20c05c5,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,learned,1213,32,0.02834912775046623,0.02988111315278297,0.02258121222257614,0.008641379419714212,0.7965399295999424,0.28835526848700066,0.5081846611129417,41.52584155608935,2.7354725035383036,15.180500444576257,0.03186046895849925,0.03070678571005988,imagenet_seeds_1011_1213.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/learned_seed1213/best_model.pth,d4ab6e7c51a86bccd4f988e1f70b6d098c28cc78f9be23db8e8cf6314f296c4e,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,42,32,0.03121941382291765,0.030677331149823378,0.16953146271407604,0.002068564761430025,5.430321775920913,0.06803046242595012,5.362291313494962,3.3619036677573884,2.2759305759617696,1.477155631751511,0.031006047959081778,0.03040944650902498,imagenet_seeds_42_123.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed42/best_model.pth,15a95418f02a736056c3f8a6fc9e6ee691f4f8305493a6ddc0e01094234bb66b,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,123,32,0.029929774418039064,0.030458343503260245,0.19481343496590853,-0.0010387720540165901,6.50901781767162,-0.034095015790270286,6.54311283346189,3.6500342751897428,2.245470534031252,1.625509762818799,0.03040744950413324,0.03038478113004872,imagenet_seeds_42_123.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed123/best_model.pth,730353da2ea1c25db6eaa77fee6c76de203ea7ffdb52ab425df7ef35096fd399,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,456,32,0.030827708579931667,0.03048219859057193,0.038312602788209915,-0.0018242350779473782,1.242797617892067,-0.059740373798383706,1.3025379916904507,3.528060206077113,2.316715008369335,1.5228719084270996,0.03050665670829941,0.0303320947462175,imagenet_seeds_456_789.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed456/best_model.pth,7b85839b150bd0e77821c96e83569f51c25722031538fb43cbf8a15a81c0af71,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,789,32,0.03063554149206254,0.03079480089328284,0.30141790257766843,-0.001970230368897319,9.838830583613603,-0.06418155625907106,9.903012139872674,3.6510073376647676,2.29035158528335,1.5940816078737905,0.03043210522167821,0.030505832152659458,imagenet_seeds_456_789.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed789/best_model.pth,a11ca590daf022fee035245c697f79741a36b81a3cb34bd29ef4031cc57111e9,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,1011,32,0.03204869754788131,0.03163402154701353,0.24166390765458345,0.0007663613650947809,7.540521960168065,0.02382194656529185,7.516700013602773,3.6440311933008003,2.2879387067017776,1.5927136433448972,0.03117056805019436,0.02999318514122796,imagenet_seeds_1011_1213.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed1011/best_model.pth,4837c33caa430b06fd92476fab8c35445f1e8e830117542bfed9f608a96de58b,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
imagenet,sinusoidal,1213,32,0.031126933352422656,0.0306248554221771,0.2394341160543263,-0.0005648755468428135,7.692184557451458,-0.018502936182163213,7.710687493633621,3.2015577894884144,2.238878452572323,1.4299828495870497,0.030688286698850903,0.030400801759641903,imagenet_seeds_1011_1213.json,/home/djoko.bandjur.ftnkm/Notebooks/ImageNet100_checkpoints/sinusoidal_seed1213/best_model.pth,2f4fe8bcb8884c44121dc75d68d4a0e59622b10f29253a84c4a0ac4cc518d03a,PASS_POSTHOC_MANIFEST_RETAINED_ORIGINAL_COHORT
