dataset,pe_type,n_seeds,n_random_directions_per_seed,gain_ratio_mean,gain_ratio_sd,gain_ratio_positive_seeds,damage_efficiency_gap_mean,damage_efficiency_gap_sd,damage_efficiency_gap_positive_seeds
cifar,learned,6,32,5.8078291854737545,0.327833599575715,6,0.13622207769013497,0.3300891850346348,3
cifar,sinusoidal,6,32,3.420481292812577,0.1442300219275706,6,0.48102935583022655,0.1279478926449838,6
cifar,rope,6,32,1.6862177861970034,0.4166130488533542,6,0.47350356206062855,0.5924266963924323,5
cifar,alibi,6,32,1.0506373754833949,0.09130106273100673,3,0.6337603181472247,0.5001015822471937,5
imagenet,learned,6,32,11.403762282725124,3.4855013275890334,6,0.9137078618819587,1.1031821408489744,6
imagenet,sinusoidal,6,32,1.5403859006338578,0.07663045615537799,6,6.389723630959395,2.909186160533152,6
imagenet,rope,6,32,1.2455765075107785,0.032678510679337275,6,0.0918891075241129,0.32720813266391496,4
imagenet,alibi,6,32,1.0606297532221625,0.03230166154297872,6,2.252502375380796,3.4569888579773975,5
