dataset,pe_type,n_seeds,local_ratio_mean,local_ratio_sd,calibrated_secant_ratio_mean,calibrated_secant_ratio_sd
cifar,alibi,6,1.0506373754833949,0.0913010627310067,1.0455397305206227,0.08276678484389237
cifar,learned,6,5.8078291854737545,0.3278335995757154,6.6037697219755245,0.35428884725536675
cifar,rope,6,1.6862177861970036,0.4166130488533542,3.290235267512355,1.2275949722102246
cifar,sinusoidal,6,3.420481292812577,0.1442300219275706,5.90353429066439,0.19428564578211166
imagenet,alibi,6,1.0606297532221627,0.03230166154297871,1.0399672624452962,0.025061467925985348
imagenet,learned,6,11.403762282725124,3.485501327589033,21.320224388067093,6.340452769990955
imagenet,rope,6,1.2455765075107785,0.03267851067933731,1.9792810354822603,0.12547317781425116
imagenet,sinusoidal,6,1.5403859006338578,0.07663045615537804,3.4684748117893363,0.290123517303519
