dataset,pe_type,n_seeds,n_random_directions_per_seed,gain_ratio_mean,gain_ratio_sd,gain_ratio_ci95_low,gain_ratio_ci95_high,gain_ratio_positive_seeds,gain_ratio_exact_sign_flip_p_vs_1,damage_efficiency_gap_mean,damage_efficiency_gap_sd,damage_efficiency_gap_ci95_low,damage_efficiency_gap_ci95_high,damage_efficiency_gap_positive_seeds,damage_efficiency_gap_exact_sign_flip_p,task_functional_gain_mean,task_functional_gain_sd,random_functional_gain_median_mean,random_functional_gain_median_sd,task_damage_efficiency_mean,task_damage_efficiency_sd,random_damage_efficiency_median_mean,random_damage_efficiency_median_sd
imagenet,learned,6,32,11.403762282725122,3.4855013275890334,8.679579629391828,13.680454103317368,6,0.03125,0.9137078618819587,1.1031821408489744,0.3307390090136255,1.8178886510528993,6,0.03125,31.59369594011838,9.856964441195965,2.758781072580041,0.07048052537076335,1.1031299907003456,1.2047290278557192,0.18942212881838671,0.15901852920609738
imagenet,sinusoidal,6,32,1.5403859006338578,0.07663045615537799,1.484226447506332,1.5926893762810115,6,0.03125,6.389723630959395,2.909186160533152,4.085089942599651,8.350787960053088,6,0.03125,3.506099078246371,0.1869550839267156,2.2758808104866346,0.02938091143239115,6.375612385452954,2.9100314662670206,-0.014111245506441049,0.051369015237002186
imagenet,rope,6,32,1.2455765075107785,0.032678510679337275,1.22194957286469,1.2682648417420899,6,0.03125,0.0918891075241129,0.32720813266391496,-0.1483085729904873,0.3267614214390063,4,0.5625,3.4191297858777796,0.2306594874354127,2.7462161553892996,0.19410916043430695,0.10161303145487964,0.3369428609353491,0.00972392393076673,0.016007772890940915
imagenet,alibi,6,32,1.0606297532221625,0.03230166154297872,1.0382141909967628,1.0845928898922255,6,0.03125,2.252502375380796,3.456988857977397,-0.3948001505529133,4.611543553046207,5,0.15625,4.727861843343491,0.11700623338175095,4.458378402129521,0.047396323082310045,2.2594160029890724,3.6334669718340753,0.006913627608276481,0.4485927804606625
cifar,learned,6,32,5.807829185473755,0.327833599575715,5.548453657016837,6.026245531148295,6,0.03125,0.13622207769013497,0.33008918503463475,-0.05922635339209536,0.4067050775503525,3,0.4375,44.483386824194305,4.433911923077104,7.654563502939068,0.5458628786607731,0.12179819026687347,0.30218143994932817,-0.014423887423261499,0.04917890296613018
cifar,sinusoidal,6,32,3.4204812928125765,0.14423002192757056,3.3006088417683563,3.504819634447106,6,0.03125,0.4810293558302266,0.1279478926449838,0.39226965249323226,0.5763353541660621,6,0.03125,9.334361245346798,0.35769420357680304,2.7302671768157736,0.07669528770702626,0.5172494534902449,0.1427194065316964,0.036220097660018276,0.050360775526217726
cifar,rope,6,32,1.6862177861970034,0.4166130488533542,1.4247319593465113,2.015657718487351,6,0.03125,0.4735035620606286,0.5924266963924323,-0.008608829780674196,0.8483800749227117,5,0.125,4.208419604695131,1.1074822302827012,2.489115939408803,0.06766211105428346,0.5157428119519345,0.6082478440584126,0.04223924989130595,0.038978807359232336
cifar,alibi,6,32,1.050637375483395,0.09130106273100673,1.0021138371004412,1.1283141879173184,3,0.25,0.6337603181472247,0.5001015822471937,0.23582794653875494,0.9584580537029109,5,0.0625,4.6016232845550675,0.4317314655869422,4.377887680927703,0.03482821805009145,0.7669117312515766,0.4627171710019486,0.133151413104352,0.10512877840272349
