scope,endpoint_multiplier,endpoint,architecture,family,metric,n_seeds,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
cross,1.0,0.07923839733806452,vits,sinusoidal,gap,6,0.23241865046137677,0.03897735583136166,0.2045802023446105,0.2614722619078617,6,0.03125
vitb,0.75,0.07181108579409623,vitb,alibi,noise_nauc,6,0.9738619172223557,0.00479738205628086,0.9706921600787348,0.9775623454344881,6,0.03125
vitb,0.75,0.07181108579409623,vitb,alibi,adversarial_nauc,6,0.8929119906873422,0.015614378128744428,0.8835304885237546,0.9056065250193349,6,0.03125
vitb,0.75,0.07181108579409623,vitb,alibi,gap,6,0.08094992653501355,0.0166357095557841,0.06722965482024089,0.08991441169687708,6,0.03125
vitb,0.75,0.07181108579409623,vitb,learned,noise_nauc,6,0.9985732684349151,0.0008734118139504306,0.997989513788413,0.9992154110830874,6,0.03125
vitb,0.75,0.07181108579409623,vitb,learned,adversarial_nauc,6,0.9950688515241524,0.0022855829937795395,0.9933207540632839,0.9966311197882619,6,0.03125
vitb,0.75,0.07181108579409623,vitb,learned,gap,6,0.0035044169107626235,0.0023489659594562533,0.0020345241647152603,0.0054027081452897585,6,0.03125
vitb,0.75,0.07181108579409623,vitb,rope,noise_nauc,6,0.9992476062333185,0.00046509261445645155,0.9989011662430234,0.9995749998451134,6,0.03125
vitb,0.75,0.07181108579409623,vitb,rope,adversarial_nauc,6,0.9744128725044762,0.00648908521829429,0.9692651616254411,0.978822949225857,6,0.03125
vitb,0.75,0.07181108579409623,vitb,rope,gap,6,0.024834733728842262,0.006780541408563396,0.020152757279361184,0.030136299946943834,6,0.03125
vitb,0.75,0.07181108579409623,vitb,sinusoidal,noise_nauc,6,0.9985469865573648,0.0008830385900404885,0.9978385304426233,0.9991142483884006,6,0.03125
vitb,0.75,0.07181108579409623,vitb,sinusoidal,adversarial_nauc,6,0.9224163424375486,0.005873405532326493,0.9183469494050892,0.9269375980812855,6,0.03125
vitb,0.75,0.07181108579409623,vitb,sinusoidal,gap,6,0.0761306441198163,0.006266190394786082,0.07143671536760443,0.0805211524609179,6,0.03125
vitb,0.9,0.08617330295291548,vitb,alibi,noise_nauc,6,0.9632047490717096,0.007334539911575051,0.958398764169317,0.9690402338060621,6,0.03125
vitb,0.9,0.08617330295291548,vitb,alibi,adversarial_nauc,6,0.8469526290142068,0.02004094475035078,0.8351440952133663,0.8634407011597651,6,0.03125
