architecture,family,seed,regime,point_index,rho,normalized_accuracy,clean_anchor,lower_envelope
vitb,learned,456,adversarial_raw,3,0.0133559145097404,0.9959588537839824,False,False
vitb,learned,456,adversarial_raw,4,0.0191973949710122,0.9930198383541514,False,False
vitb,learned,456,adversarial_raw,5,0.039192013136129,0.9893460690668628,False,False
vitb,learned,456,adversarial_raw,6,0.0719559746276363,0.9867744305657606,False,False
vitb,learned,456,adversarial_raw,7,0.0805099891000621,0.982365907421014,False,False
vitb,learned,456,adversarial_raw,8,0.1541308802355012,0.9643644379132992,False,False
vitb,learned,456,adversarial_raw,9,0.1836322332448394,0.9180749448934608,False,False
vitb,learned,456,adversarial_raw,10,0.2072542416193139,0.7468772961058046,False,False
vitb,learned,789,noise,0,0.0,1.0,True,False
vitb,learned,789,noise,1,0.0037821974266857,1.0001836210062431,False,False
vitb,learned,789,noise,2,0.0075837881376146,1.0003305178112376,False,False
vitb,learned,789,noise,3,0.0154282105900103,0.999889827396254,False,False
vitb,learned,789,noise,4,0.0324344613583465,0.998824825560044,False,False
vitb,learned,789,noise,5,0.0697665118615954,0.9988615497612926,False,False
vitb,learned,789,noise,6,0.088397911046498,0.9981637899375688,False,False
vitb,learned,789,noise,7,0.1061833296666057,0.9979434447300772,False,False
vitb,learned,789,noise,8,0.1383340185466464,0.995629820051414,False,False
vitb,learned,789,adversarial,0,0.0,1.0,True,True
vitb,learned,789,adversarial,1,0.0141790474623711,0.998531031950055,False,True
vitb,learned,789,adversarial,2,0.0336189842029807,0.996694821887624,False,True
vitb,learned,789,adversarial,3,0.0613909707076393,0.9897172236503856,False,True
vitb,learned,789,adversarial,4,0.0918774317002631,0.9827396254131472,False,True
vitb,learned,789,adversarial,5,0.1186489162931178,0.9702533969886156,False,True
vitb,learned,789,adversarial,6,0.1397179164833636,0.948586118251928,False,True
vitb,learned,789,adversarial,7,0.1681006962049358,0.8501652589056188,False,True
vitb,learned,789,adversarial,8,0.2020365585449837,0.5978699963275799,False,True
vitb,learned,789,adversarial,9,0.2263103874970852,0.3720161586485493,False,True
vitb,learned,789,adversarial,10,0.2434375123676773,0.246052148365773,False,True
vitb,learned,789,adversarial_raw,0,0.0,1.0,True,False
vitb,learned,789,adversarial_raw,1,0.0141790474623711,0.998531031950055,False,False
vitb,learned,789,adversarial_raw,2,0.0336189842029807,0.996694821887624,False,False
vitb,learned,789,adversarial_raw,3,0.0613909707076393,0.9897172236503856,False,False
vitb,learned,789,adversarial_raw,4,0.0918774317002631,0.9827396254131472,False,False
vitb,learned,789,adversarial_raw,5,0.1186489162931178,0.9702533969886156,False,False
vitb,learned,789,adversarial_raw,6,0.1397179164833636,0.948586118251928,False,False
vitb,learned,789,adversarial_raw,7,0.1681006962049358,0.8501652589056188,False,False
vitb,learned,789,adversarial_raw,8,0.2020365585449837,0.5978699963275799,False,False
vitb,learned,789,adversarial_raw,9,0.2263103874970852,0.3720161586485493,False,False
vitb,learned,789,adversarial_raw,10,0.2434375123676773,0.246052148365773,False,False
vitb,learned,1011,noise,0,0.0,1.0,True,False
vitb,learned,1011,noise,1,0.0036804076642527,0.9992360858494,False,False
vitb,learned,1011,noise,2,0.0073769247403557,0.9988359403419425,False,False
vitb,learned,1011,noise,3,0.0149962524007839,0.9989086940705711,False,False
vitb,learned,1011,noise,4,0.0314283131620078,0.9984721716987996,False,False
vitb,learned,1011,noise,5,0.066911736041372,0.9955983994179702,False,False
vitb,learned,1011,noise,6,0.0843312989976755,0.9936340487449982,False,False
vitb,learned,1011,noise,7,0.1008946366910736,0.992360858493998,False,False
vitb,learned,1011,noise,8,0.1315515324664865,0.9878137504547108,False,False
vitb,learned,1011,adversarial,0,0.0,1.0,True,True
vitb,learned,1011,adversarial,1,0.0089020820352664,0.9981811567842852,False,True
vitb,learned,1011,adversarial,2,0.0198748410147749,0.9981811567842852,False,True
vitb,learned,1011,adversarial,3,0.0356973881579262,0.9938159330665698,False,True
vitb,learned,1011,adversarial,4,0.0617198761014098,0.99017824663514,False,True
vitb,learned,1011,adversarial,5,0.1162511026332468,0.9770825754819936,False,True
vitb,learned,1011,adversarial,6,0.1347393602392489,0.9578028373954164,False,True
vitb,learned,1011,adversarial,7,0.1449828371788619,0.6929792651873409,False,True
vitb,learned,1011,adversarial,8,0.1527151290841689,0.6929792651873409,False,True
vitb,learned,1011,adversarial,9,0.1544406191226164,0.6929792651873409,False,True
vitb,learned,1011,adversarial,10,0.1657062642307456,0.6929792651873409,False,True
vitb,learned,1011,adversarial_raw,0,0.0,1.0,True,False
vitb,learned,1011,adversarial_raw,1,0.0089020820352664,0.9981811567842852,False,False
vitb,learned,1011,adversarial_raw,2,0.0198748410147749,0.9985449254274285,False,False
vitb,learned,1011,adversarial_raw,3,0.0356973881579262,0.9938159330665698,False,False
vitb,learned,1011,adversarial_raw,4,0.0617198761014098,0.99017824663514,False,False
vitb,learned,1011,adversarial_raw,5,0.1162511026332468,0.9770825754819936,False,False
vitb,learned,1011,adversarial_raw,6,0.1347393602392489,0.9578028373954164,False,False
vitb,learned,1011,adversarial_raw,7,0.1449828371788619,0.6929792651873409,False,False
vitb,learned,1011,adversarial_raw,8,0.1527151290841689,0.9410694798108404,False,False
vitb,learned,1011,adversarial_raw,9,0.1544406191226164,0.870134594397963,False,False
vitb,learned,1011,adversarial_raw,10,0.1657062642307456,0.9243361222262642,False,False
vitb,learned,1213,noise,0,0.0,1.0,True,False
vitb,learned,1213,noise,1,0.0036267315107854,1.0001453488372092,False,False
vitb,learned,1213,noise,2,0.0072633984429311,1.0,False,False
vitb,learned,1213,noise,3,0.0146976611118146,0.999781976744186,False,False
vitb,learned,1213,noise,4,0.0304096438217917,0.999345930232558,False,False
vitb,learned,1213,noise,5,0.06419896921334,0.9948401162790697,False,False
vitb,learned,1213,noise,6,0.0811373655696637,0.9925508720930232,False,False
vitb,learned,1213,noise,7,0.0976228419408515,0.990734011627907,False,False
vitb,learned,1213,noise,8,0.1289144060624228,0.9870276162790697,False,False
vitb,learned,1213,adversarial,0,0.0,1.0,True,True
vitb,learned,1213,adversarial,1,0.0122551083761521,0.9996366279069766,False,True
vitb,learned,1213,adversarial,2,0.0265945095812254,0.9970930232558138,False,True
vitb,learned,1213,adversarial,3,0.0444164670252126,0.9960029069767442,False,True
vitb,learned,1213,adversarial,4,0.1137108695827629,0.9840116279069766,False,True
vitb,learned,1213,adversarial,5,0.1215335821742309,0.8975290697674418,False,True
vitb,learned,1213,adversarial,6,0.1356263782540407,0.7063953488372092,False,True
vitb,learned,1213,adversarial,7,0.1400034383170902,0.7063953488372092,False,True
vitb,learned,1213,adversarial,8,0.1542055602828949,0.3775436046511627,False,True
vitb,learned,1213,adversarial,9,0.1630841460398728,0.3775436046511627,False,True
vitb,learned,1213,adversarial,10,0.183447209734617,0.3775436046511627,False,True
vitb,learned,1213,adversarial_raw,0,0.0,1.0,True,False
vitb,learned,1213,adversarial_raw,1,0.0122551083761521,0.9996366279069766,False,False
vitb,learned,1213,adversarial_raw,2,0.0265945095812254,0.9970930232558138,False,False
vitb,learned,1213,adversarial_raw,3,0.0444164670252126,0.9960029069767442,False,False
vitb,learned,1213,adversarial_raw,4,0.1137108695827629,0.9840116279069766,False,False
vitb,learned,1213,adversarial_raw,5,0.1215335821742309,0.8975290697674418,False,False
vitb,learned,1213,adversarial_raw,6,0.1356263782540407,0.7063953488372092,False,False
vitb,learned,1213,adversarial_raw,7,0.1400034383170902,0.9640261627906976,False,False
vitb,learned,1213,adversarial_raw,8,0.1542055602828949,0.3775436046511627,False,False
vitb,learned,1213,adversarial_raw,9,0.1630841460398728,0.9451308139534882,False,False
vitb,learned,1213,adversarial_raw,10,0.183447209734617,0.929142441860465,False,False
vitb,sinusoidal,42,noise,0,0.0,1.0,True,False
vitb,sinusoidal,42,noise,1,0.0080878995940805,0.9993295695130556,False,False
vitb,sinusoidal,42,noise,2,0.0203362345051952,0.9986591390261116,False,False
vitb,sinusoidal,42,noise,3,0.0414763892130177,0.9989767113620324,False,False
vitb,sinusoidal,42,noise,4,0.0869460129328684,0.999894142554693,False,False
vitb,sinusoidal,42,noise,5,0.1811554290939989,0.9929781227946364,False,False
vitb,sinusoidal,42,adversarial,0,0.0,1.0,True,True
vitb,sinusoidal,42,adversarial,1,0.0066774603206964,0.9904728299223712,False,True
vitb,sinusoidal,42,adversarial,2,0.022321427564031,0.9650670430486944,False,True
vitb,sinusoidal,42,adversarial,3,0.0402959584577287,0.936485532815808,False,True
vitb,sinusoidal,42,adversarial,4,0.0619327076473022,0.8362738179251941,False,True
vitb,sinusoidal,42,adversarial,5,0.0782453099544844,0.5885673959068454,False,True
vitb,sinusoidal,42,adversarial,6,0.0874058567128659,0.3352152434721241,False,True
vitb,sinusoidal,42,adversarial,7,0.0937640860157455,0.176076217360621,False,True
vitb,sinusoidal,42,adversarial,8,0.0986748721441575,0.0225829216654904,False,True
vitb,sinusoidal,42,adversarial_raw,0,0.0,1.0,True,False
vitb,sinusoidal,42,adversarial_raw,1,0.0066774603206964,0.9904728299223712,False,False
