support_multiplier,rho_endpoint,family,seed,attack_nauc_amp,attack_nauc_fp32,delta_attack_nauc,noise_nauc_amp,noise_nauc_fp32,delta_noise_nauc,gap_amp,gap_fp32,delta_gap
1.0,0.07923839733806452,learned,42,0.9096543530660574,0.9209119814868721,-0.011257628420814791,0.9973634529899743,0.9979403363756753,-0.0005768833857009437,0.08770909992391696,0.07702835488880311,0.010680745035113848
1.0,0.07923839733806452,learned,123,0.8489117439768623,0.8213767061703275,0.027535037806534768,0.9979227502186494,0.9985251437177247,-0.0006023934990753155,0.1490110062417871,0.17714843754739718,-0.028137431305610083
1.0,0.07923839733806452,learned,456,0.8277714267954989,0.8570417300386447,-0.029270303243145834,0.9951802489830948,0.9980543933452942,-0.00287414436219946,0.1674088221875959,0.14101266330664952,0.026396158880946374
1.0,0.07923839733806452,learned,789,0.8390233620310862,0.818017679457555,0.021005682573531193,0.9972133152859369,0.9968709261002507,0.00034238918568618715,0.15818995325485075,0.17885324664269575,-0.020663293387845005
1.0,0.07923839733806452,learned,1011,0.696931176946366,0.8416013502140115,-0.14467017326764553,0.9983127100472141,0.9988926798565607,-0.0005799698093466032,0.30138153310084814,0.15729132964254922,0.14409020345829893
1.0,0.07923839733806452,learned,1213,0.7720567534934102,0.8466720997079408,-0.07461534621453059,0.9985438705254762,0.9981877891918732,0.00035608133360298666,0.22648711703206603,0.15151568948393246,0.07497142754813357
1.0,0.07923839733806452,sinusoidal,42,0.7446744849222297,0.7969506627592059,-0.052276177836976245,0.9987269123199295,0.997466114892937,0.001260797426992477,0.25405242739769984,0.20051545213373112,0.05353697526396872
1.0,0.07923839733806452,sinusoidal,123,0.7964469910873306,0.7796427713905033,0.016804219696827327,1.0009487705264792,1.0001267395915265,0.0008220309349527,0.2045017794391486,0.22048396820102323,-0.015982188761874627
1.0,0.07923839733806452,sinusoidal,456,0.7527221443011912,0.7257530103938696,0.026969133907321585,0.9990277852229278,0.9995957483461291,-0.0005679631232012872,0.24630564092173657,0.27384273795225944,-0.027537097030522872
1.0,0.07923839733806452,sinusoidal,789,0.7581440302882672,0.812802613212941,-0.05465858292467385,0.9999946097853062,0.9977695344773642,0.002225075307942026,0.24185057949703903,0.18496692126442316,0.056883658232615875
1.0,0.07923839733806452,sinusoidal,1011,0.7713876379581598,0.7666972167130234,0.004690421245136411,0.9996895357348626,0.9992997510865917,0.00038978464827088555,0.22830189777670284,0.23260253437356837,-0.004300636596865526
1.0,0.07923839733806452,sinusoidal,1213,0.7709767328650452,0.7163501269281903,0.054626605936854866,0.9965498677959148,0.9984504157714456,-0.001900547975530742,0.2255731349308696,0.2821002888432552,-0.05652715391238561
