family,family_label,seed,clean_accuracy_amp,clean_accuracy_fp32,delta_clean_accuracy_pp_amp_minus_fp32,epsilon50_amp,epsilon50_fp32,delta_epsilon50_amp_minus_fp32,rho50_amp,rho50_fp32,delta_rho50_amp_minus_fp32,rho50_bracket_width_amp,rho50_bracket_width_fp32,cliff_width_amp,cliff_width_fp32
learned,Learned,42,77.80023094688222,78.17551963048498,-0.37528868360276135,0.005460352422907489,0.005256544502617801,0.0002038079202896885,0.08593434522612428,0.1028150127994901,-0.016880667573365815,0.04435793278491648,0.023311902839717527,0.03510855472991188,0.04314447228058592
learned,Learned,123,77.68475750577367,77.68475750577367,0.0,0.005390489913544669,0.004785249828884326,0.0006052400846603429,0.07660969714453195,0.07087379043234682,0.005735906712185129,0.021294405919468434,0.029931396687182484,0.03633407315855993,0.0345180570082692
learned,Learned,456,78.23325635103926,78.43533487297921,-0.2020785219399528,0.004801681195516812,0.005376634958382877,-0.000574953762866065,0.07605384744844142,0.07963563062898335,-0.0035817831805419337,0.04795988492755594,0.03650000835493106,0.04706651819002042,0.04048440164309317
learned,Learned,789,78.00230946882218,77.3960739030023,0.6062355658198726,0.005458312020460358,0.004774036054081121,0.0006842759663792369,0.07628889145738066,0.08829899087091897,-0.012010099413538311,0.046208187884355434,0.08805746662683206,0.03831852388650488,0.07093101693336108
learned,Learned,1011,77.74249422632795,78.31986143187066,-0.5773672055427141,0.003438125894134478,0.005335127478753541,-0.0018970015846190634,0.24498960282807575,0.07763113502116503,0.16735846780691072,0.005713255728964001,0.04299032621825308,0.05773184820137789,0.04281261058262345
learned,Learned,1213,78.11778290993071,77.7136258660508,0.4041570438799056,0.0042445240101095195,0.005672727272727273,-0.0014282032626177533,0.14205803767842223,0.07583204948133412,0.06622598819708811,0.22289450722035442,0.030513572679638196,0.15243956273082032,0.03497862700886797
sinusoidal,Sinusoidal,42,78.72401847575058,79.01270207852194,-0.2886836027713571,0.007116990291262136,0.007786468330134357,-0.0006694780388722208,0.06375999028016952,0.07127017562492083,-0.007510185344751313,0.008839941874439698,0.010380811959372363,0.03365187359667183,0.03974092236503764
sinusoidal,Sinusoidal,123,78.66628175519631,78.14665127020785,0.5196304849884541,0.008333561643835617,0.008142764857881138,0.0001907967859544786,0.07123438551357952,0.06956657631606071,0.001667809197518813,0.008328262840718387,0.0071957207812645835,0.03972435466806319,0.03957502017626367
sinusoidal,Sinusoidal,456,77.82909930715935,79.21478060046189,-1.3856812933025395,0.007712895377128954,0.007741538461538462,-2.86430844095081e-05,0.06647630855732396,0.06302064775315713,0.0034556608041668296,0.008474135059127516,0.0072445900851123915,0.04313205557682707,0.03663830060780101
sinusoidal,Sinusoidal,789,79.3013856812933,78.95496535796767,0.34642032332563133,0.007666883116883117,0.008346005154639177,-0.0006791220377560594,0.0679539501153819,0.07452530660880896,-0.0065713564934270635,0.009179998944482265,0.009172869895153202,0.046059609533171786,0.0422810067154063
sinusoidal,Sinusoidal,1011,78.14665127020785,78.78175519630484,-0.6351039260969884,0.008203280318091451,0.008177505330490406,2.5774987601045324e-05,0.06837486082772896,0.06839028764752163,-1.542681979266325e-05,0.00916480629244111,0.010210443170738853,0.0389926020709895,0.04421684605044802
sinusoidal,Sinusoidal,1213,78.55080831408776,79.04157043879907,-0.49076212471130987,0.007232700892857143,0.007496212121212121,-0.0002635112283549783,0.0669229261959076,0.06106389253555995,0.005859033660347651,0.009439650543455039,0.008755151370833214,0.03676927835439513,0.03900938810044747
rope,RoPE,42,83.08314087759815,82.85219399538106,0.23094688221709703,0.06659522351500306,0.06685817465528562,-0.0002629511402825607,0.07474888983866704,0.07414932283281803,0.000599567005849011,0.036688326828675503,0.0335613006911048,0.04809135188487848,0.04529650442142099
rope,RoPE,123,83.05427251732101,82.27482678983834,0.7794457274826669,0.0662805944055944,0.06597303634232121,0.0003075580632731917,0.08767853599470968,0.08999169657261336,-0.002313160577903678,0.03916479986855036,0.03651253908481765,0.04443361854709868,0.04270254859382085
rope,RoPE,456,82.41916859122402,82.82332563510393,-0.4041570438799056,0.06754868090452261,0.06773327194597913,-0.0001845910414565166,0.07332034051962767,0.07436115160245609,-0.0010408110828284134,0.03530356130032215,0.03693282263349854,0.04237660369944026,0.04722515093177165
rope,RoPE,789,83.05427251732101,82.27482678983834,0.7794457274826669,0.06808494558645707,0.06588132635253054,0.002203619233926535,0.10108127895256538,0.06803823310213959,0.03304304585042579,0.037354741877917486,0.0307363095652679,0.04406523010671273,0.03604199407919823
rope,RoPE,1011,82.93879907621248,82.50577367205543,0.4330254041570498,0.0664985380116959,0.06700416914830257,-0.0005056311366066629,0.0850524540953022,0.08181136518028642,0.0032410889150157746,0.03567123799077168,0.039388583084969536,0.041155537887182625,0.0462031845922253
rope,RoPE,1213,82.39030023094688,83.11200923787528,-0.7217090069284069,0.06744150246305419,0.06763698630136986,-0.00019548383831566318,0.07982806717913149,0.0745142752667945,0.005313791912336996,0.03487468866340506,0.03446763142987098,0.04482145848614143,0.046783041879453265
