seed,clean_accuracy_percent,max_rho_rel,epsilon_at_max_rho,max_rho_ratio_to_median_of_seeds_42_123_456_789,robust_z_from_other_four,epsilon50,rho50,q50_epsilon_bracket,q50_rho_bracket,rho_nonmonotone_step_count,raw_accuracy_increase_step_count,max_restart_loss_spread,formal_integrity_status,interpretation
42,77.80023094688222,0.11184532304847106,0.008,1.097494434290475,4.503342108303507,0.005460352422907489,0.08593434522612428,"[0.005,0.006]","[0.0655141,0.109872]",0,0,8.977353572792168e-05,PASS_RETAINED,within main four-seed max-rho band
123,77.68475750577367,0.09952385375916267,0.008,0.976588672666124,-1.081387024410075,0.005390489913544669,0.07660969714453195,"[0.005,0.006]","[0.0682944,0.0895889]",0,0,7.409155368787168e-05,PASS_RETAINED,within main four-seed max-rho band
456,78.23325635103926,0.10250007858335218,0.006,1.0057932034477068,0.2675924755899188,0.004801681195516812,0.07605384744844142,"[0.0045,0.005]","[0.0471167,0.0950765]",1,0,0.21113129407167452,PASS_RETAINED,within main four-seed max-rho band
789,78.00230946882218,0.10131931139064532,0.006,0.9942067965522932,-0.26759247558992505,0.005458312020460358,0.07628889145738066,"[0.005,0.006]","[0.0551111,0.101319]",1,0,6.773024797457339e-05,PASS_RETAINED,within main four-seed max-rho band
1011,77.74249422632795,0.24749272810274703,0.003,2.428549394974847,65.98578360908793,0.003438125894134478,0.24498960282807575,"[0.003,0.004]","[0.247493,0.241779]",5,0,0.0003062918782230639,PASS_RETAINED,high-rho low-budget branch; all five restart losses tightly agree; retained as a valid seed-level outcome
1213,78.11778290993071,0.2575659468832938,0.005,2.5273939532068375,70.55148896962736,0.0042445240101095195,0.14205803767842223,"[0.004,0.0045]","[0.0330519,0.255946]",2,1,0.051557490229606984,PASS_RETAINED,abrupt high-rho cliff at epsilon 0.0045; retained as a valid seed-level outcome
