support_multiplier,rho_endpoint,regime,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,42,0.9209119814868721,0.9979403363756753,0.07702835488880311
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,123,0.8213767061703275,0.9985251437177247,0.17714843754739718
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,456,0.8570417300386447,0.9980543933452942,0.14101266330664952
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,789,0.818017679457555,0.9968709261002507,0.17885324664269575
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,1011,0.8416013502140115,0.9988926798565607,0.15729132964254922
1.0,0.07923839733806452,full_fp32_trained,learned,Learned,1213,0.8466720997079408,0.9981877891918732,0.15151568948393246
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,42,0.7969506627592059,0.997466114892937,0.20051545213373112
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,123,0.7796427713905033,1.0001267395915265,0.22048396820102323
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,456,0.7257530103938696,0.9995957483461291,0.27384273795225944
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,789,0.812802613212941,0.9977695344773642,0.18496692126442316
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,1011,0.7666972167130234,0.9992997510865917,0.23260253437356837
1.0,0.07923839733806452,full_fp32_trained,sinusoidal,Sinusoidal,1213,0.7163501269281903,0.9984504157714456,0.2821002888432552
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,42,0.8476046720406042,0.9979438228550429,0.15033915081443872
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,123,0.933488887205197,0.9997941478277579,0.06630526062256092
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,456,0.8519725008863669,0.9987932453279297,0.1468207444415628
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,789,0.8232463497812192,1.0000865053956967,0.1768401556144774
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,1011,0.8917438201176494,0.999149402485933,0.10740558236828357
1.0,0.07923839733806452,full_fp32_trained,rope,RoPE,1213,0.8487382588383435,0.9991689588220573,0.15043069998371372
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,42,0.9096543530660574,0.9973634529899743,0.08770909992391696
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,123,0.8489117439768623,0.9979227502186494,0.1490110062417871
