support_multiplier,regime,family,metric,n,mean,sd,cv_abs,median,mad,q1,q3,min,max
,amp_fp16_trained,learned,clean_accuracy_percent,6,77.93013856812934,0.2211776132722595,0.00283815244443455,77.9012702078522,0.18764434180138068,77.75692840646651,78.08891454965358,77.68475750577367,78.23325635103926
,amp_fp16_trained,learned,epsilon50,6,0.004798914242778888,0.0008223586547848952,0.17136348206728846,0.005096085554530741,0.00036324666715318275,0.004383813306461343,0.005441356493731436,0.003438125894134478,0.005460352422907489
,amp_fp16_trained,learned,rho50,6,0.1169890702971627,0.06773429885436458,0.5789797173557616,0.08127202118532811,0.005100651732417076,0.07636909287916849,0.12802711456534774,0.07605384744844142,0.24498960282807575
,amp_fp16_trained,learned,cliff_width_rho20_minus_rho80,6,0.061166513482865885,0.04551719289960647,0.7441521562669557,0.04269252103826265,0.006971207094026741,0.03683018584054617,0.05506551569853852,0.03510855472991188,0.15243956273082032
,amp_fp16_trained,learned,max_rho_rel,6,0.15337454029461203,0.07698910639731649,0.5019679684087769,0.10717270081591163,0.006751118241007631,0.10161450318882204,0.21358087683917804,0.09952385375916267,0.2575659468832938
,amp_fp16_trained,rope,clean_accuracy_percent,6,82.82332563510393,0.3281356175146142,0.003961874447788859,82.99653579676675,0.07217090069283927,82.54907621247114,83.05427251732101,82.39030023094688,83.08314087759815
,amp_fp16_trained,rope,epsilon50,6,0.06707491414772121,0.0007172533507838104,0.010693317462981475,0.06701836298902863,0.0005250714464133527,0.0665227093875227,0.06752188629415551,0.0662805944055944,0.06808494558645707
,amp_fp16_trained,rope,rho50,6,0.08361826109666726,0.01022328928570648,0.12226144327359069,0.08244026063721685,0.00646482307802132,0.07601868417378316,0.0870220155198578,0.07332034051962767,0.10108127895256538
,amp_fp16_trained,rope,cliff_width_rho20_minus_rho80,6,0.04415730010190904,0.0023742011131798906,0.05376689941868179,0.044249424326905706,0.001222427393350583,0.04279876030125838,0.044724498501380744,0.041155537887182625,0.04809135188487848
,amp_fp16_trained,rope,max_rho_rel,6,0.12310594997151247,0.010452841124155635,0.08490930882361487,0.12213472718505052,0.0033867104527465636,0.12142055621102085,0.1266302597790158,0.10646703102864417,0.13858794456698123
