regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,learned,42,0.0,0.0,1.0,78.17551963048498,,,,0.0,0
full_fp32_trained,learned,42,0.003,0.029176303042733043,0.9641802067946825,75.37528868360278,1.1414834666065872,1.1414493768941611,1.1414834666065872,3.408971242602199e-05,1
full_fp32_trained,learned,42,0.004,0.04553825128665887,0.9313146233382571,72.80600461893765,1.2429418872576208,1.2429217542521656,1.2429418872576208,2.0133005455225117e-05,2
full_fp32_trained,learned,42,0.0045,0.05659276430608917,0.8969719350073856,70.12124711316397,1.3490098319947719,1.348971318732947,1.3490098319947719,3.851326182480186e-05,3
full_fp32_trained,learned,42,0.005,0.09683447228040026,0.6447562776957164,50.404157043879906,2.164469698816538,2.1643880773335695,2.164469698816538,8.16214829684192e-05,4
full_fp32_trained,learned,42,0.006,0.12014637512011779,0.08050221565731168,6.293302540415705,4.582706910371781,4.575684101879597,4.582706910371781,0.007022808492183508,5
full_fp32_trained,learned,42,0.008,0.11895647373066039,0.06351550960118169,4.965357967667437,5.139233310520649,5.069036021828651,5.139233310520649,0.0701972886919977,6
full_fp32_trained,learned,123,0.0,0.0,1.0,77.68475750577367,,,,0.0,0
full_fp32_trained,learned,123,0.003,0.0191990946354476,0.9706428836863619,75.4041570438799,1.2136373360175639,1.213602591259405,1.2136373360175639,3.474475815878897e-05,1
full_fp32_trained,learned,123,0.004,0.04198636768489473,0.9015235971757711,70.03464203233257,1.4016627782024442,1.401621603500098,1.4016627782024442,4.117470234632492e-05,2
full_fp32_trained,learned,123,0.0045,0.053797938865771465,0.8097361575622445,62.904157043879906,1.746454702783376,1.7464027651585639,1.746454702783376,5.193762481203734e-05,3
full_fp32_trained,learned,123,0.005,0.08372933555295395,0.26681531029357114,20.727482678983833,3.8007904827594756,3.8007191985845568,3.8007904827594756,7.128417491886196e-05,4
full_fp32_trained,learned,123,0.006,0.09492790714885053,0.12077294685990338,9.382217090069284,4.601932275295257,4.601860176026821,4.601932275295257,7.209926843643188e-05,5
full_fp32_trained,learned,123,0.008,0.08830885978441799,0.043106651802303976,3.348729792147806,5.826700115203858,5.826672369241715,5.826700115203858,2.7745962142944336e-05,6
full_fp32_trained,learned,456,0.0,0.0,1.0,78.43533487297921,,,,0.0,0
full_fp32_trained,learned,456,0.003,0.017815575216156673,0.9705557600294442,76.12586605080831,1.1416105506476015,1.1415730851236732,1.1416105506476015,3.7465523928359445e-05,1
full_fp32_trained,learned,456,0.004,0.02969817803643128,0.94516010305484,74.13394919168591,1.2459591733291746,1.2459073753561825,1.2459591733291746,5.1797972992151387e-05,2
