support_multiplier,rho_endpoint,family,family_label,metric,amp_mean,amp_sd,fp32_mean,fp32_sd,n,mean_delta_amp_minus_fp32,sd_delta,ci90_t_low,ci90_t_high,ci95_t_low,ci95_t_high,ci95_bootstrap_low,ci95_bootstrap_high,positive_deltas,negative_deltas,zero_deltas,exact_sign_flip_p_two_sided,min_delta,max_delta
1.0,0.07923839733806452,learned,Learned,attack_nauc,0.8157248027182135,0.07298068451787722,0.8509369245125585,0.037407491577488294,6,-0.03521212179434513,0.06517737284278981,-0.08882963928423529,0.018405395695545022,-0.10361157977035741,0.03318733618166715,-0.08614841444784697,0.00833735897719462,2,4,0,0.28125,-0.14467017326764553,0.027535037806534768
1.0,0.07923839733806452,learned,Learned,noise_nauc,0.9974227246750575,0.0012145064988509898,0.9980785447645631,0.0006858904586145774,6,-0.0006558200895055247,0.0011795056163294508,-0.0016261286529622074,0.0003144884739511581,-0.0018936353207391295,0.00058199514172808,-0.001577067868222352,4.0014640588466786e-05,2,4,0,0.21875,-0.00287414436219946,0.00035608133360298666
1.0,0.07923839733806452,learned,Learned,noise_minus_attack_gap,0.18169792195684412,0.0734702318803546,0.14714162025200453,0.037367417647005755,6,0.03455630170483961,0.06518802958894673,-0.019069982451280436,0.08818258586095964,-0.03385433984039506,0.10296694325007427,-0.008841734592180813,0.08549581723602195,4,2,0,0.3125,-0.028137431305610083,0.14409020345829893
1.0,0.07923839733806452,sinusoidal,Sinusoidal,attack_nauc,0.7657253369037039,0.01829293003077242,0.7663660668996223,0.03852055422681634,6,-0.0006407299959183174,0.04412182760942283,-0.0369371126261343,0.03565565263429766,-0.04694374838659327,0.04566228839475663,-0.03245954761150568,0.030781020105052775,4,2,0,0.96875,-0.05465858292467385,0.054626605936854866
1.0,0.07923839733806452,sinusoidal,Sinusoidal,noise_nauc,0.9991562468975701,0.0014962909395346057,0.998784717360999,0.0010587843003512444,6,0.0003715295365710099,0.0014473905309427423,-0.000819151887405853,0.0015622109605478727,-0.0011474136714482754,0.001890472744590295,-0.000707364648945478,0.0013650151937616613,4,2,0,0.53125,-0.001900547975530742,0.002225075307942026
1.0,0.07923839733806452,sinusoidal,Sinusoidal,noise_minus_attack_gap,0.2334309099938661,0.017814839325465112,0.23241865046137677,0.03897735583136166,6,0.0010122595324893273,0.0454386332392043,-0.036367380151610874,0.038391899216589524,-0.046672661616893985,0.048697180681872634,-0.03140188787409285,0.033984187433846035,2,4,0,0.96875,-0.05652715391238561,0.056883658232615875
1.0,0.07923839733806452,rope,RoPE,attack_nauc,0.8993164297208259,0.045521381857991795,0.8661324148115633,0.03969481100957742,6,0.03318401490926267,0.05813891939211163,-0.01464338885659354,0.08101141867511888,-0.027829039165859062,0.0941970689843844,-0.0008999095295338932,0.0810624831014868,4,2,0,0.1875,-0.014703071498311293,0.1442852410373443
1.0,0.07923839733806452,rope,RoPE,noise_nauc,0.9993274666327796,0.0003497579644537574,0.9991560137857362,0.0007581884701680147,6,0.00017145284704330374,0.0009331518853121223,-0.0005961952699209807,0.0009391009640075883,-0.0008078299988393676,0.001150735692925975,-0.0004756497607688037,0.0008622294455683707,3,3,0,0.65625,-0.0008514708988573982,0.0014298414991984476
1.0,0.07923839733806452,rope,RoPE,noise_minus_attack_gap,0.1000110369119535,0.04565214221365171,0.13302359897417285,0.03954922706493875,6,-0.033012562062219364,0.058547772211423744,-0.0811763045332752,0.015151180408836486,-0.09445468085739918,0.02842955673296045,-0.0815381328622556,0.001258594061026408,2,4,0,0.21875,-0.14495818821081585,0.013851600599453895
0.9,0.07131455760425807,learned,Learned,attack_nauc,0.8513706694654591,0.07209675106022453,0.8856430951183535,0.028139047581088122,6,-0.034272425652894366,0.06744100884345801,-0.08975210078373949,0.02120724947795076,-0.10504742392375946,0.036502572617970734,-0.08776552728065679,0.009733388154109327,2,4,0,0.28125,-0.1517890528340532,0.027161245983226
