session,architecture,seed,budget,loss_selected_restart,loss_selected_attack_loss,loss_selected_accuracy,loss_selected_normalized_accuracy,loss_selected_rho_rel,rho_selected_restart,rho_selected_attack_loss,rho_selected_accuracy,rho_selected_normalized_accuracy,rho_selected_rho_rel,same_restart,rho_gain_vs_loss_selected
1,vitb,42,0.01,4,4.275214865803719,14.405311778290994,0.176076217360621,0.09376378049660059,3,4.275175839662552,14.405311778290994,0.176076217360621,0.09376431206963391,False,5.315730333271818e-07
1,vitb,42,0.02,4,7.077120926976204,1.8475750577367205,0.02258292166549047,0.09867500093919311,3,7.0771004289388655,1.8475750577367205,0.02258292166549047,0.09867584859220768,False,8.476530145712369e-07
1,vitb,42,0.009,4,3.440603243559599,27.424942263279444,0.33521524347212417,0.08740608394512064,0,3.440591129660606,27.424942263279444,0.33521524347212417,0.08740624726064451,False,1.6331552386839032e-07
1,vitb,42,0.015,4,5.668375623226166,0.894919168591224,0.010938602681721947,0.1066360427030449,3,5.668356683850289,0.894919168591224,0.010938602681721947,0.10663606629577256,False,2.359272766039311e-08
1,vitb,456,0.01,4,3.5690656810998918,22.92147806004619,0.28226093138997516,0.09835223819468865,4,3.5690656810998918,22.92147806004619,0.28226093138997516,0.09835223819468865,True,0.0
1,vitb,456,0.02,4,7.030706480145454,1.5011547344110854,0.01848560255954497,0.09771639840215175,3,7.030677622556686,1.5011547344110854,0.01848560255954497,0.09771772253172255,False,1.3241295707955292e-06
1,vitb,456,0.009,0,2.6454206459224223,40.58891454965358,0.4998222538215429,0.09265681839838232,4,2.645390398800373,40.58891454965358,0.4998222538215429,0.09265695603165894,False,1.3763327662286162e-07
1,vitb,456,0.015,4,6.167097201943397,2.9445727482678983,0.036260220405261286,0.09763119911578967,0,6.167079612612724,2.9445727482678983,0.036260220405261286,0.09763147077453904,False,2.7165874937062906e-07
1,vitb,1011,0.01,0,3.940337046980858,18.793302540415706,0.22850122850122853,0.09361644256920684,0,3.940337046980858,18.793302540415706,0.22850122850122853,0.09361644256920684,True,0.0
1,vitb,1011,0.02,1,7.38474991619587,2.0496535796766744,0.024921024921024923,0.09589502925929,1,7.38474991619587,2.0496535796766744,0.024921024921024923,0.09589502925929,True,0.0
1,vitb,1011,0.009,0,3.165056137740612,32.99653579676674,0.4011934011934012,0.08845884139628837,0,3.165056137740612,32.99653579676674,0.4011934011934012,0.08845884139628837,True,0.0
1,vitb,1011,0.015,3,6.349634742736816,3.6662817551963047,0.044577044577044575,0.09659745485969415,0,6.349634718894959,3.695150115473441,0.044928044928044926,0.09660644224129541,False,8.987381601266442e-06
1,vits,42,0.0095,0,4.62098675519228,7.361431870669746,0.09316770186335403,0.09379674395478407,0,4.62098675519228,7.361431870669746,0.09316770186335403,0.09379674395478407,True,0.0
1,vits,42,0.01,4,4.821665869653225,5.687066974595843,0.07197661673364998,0.09595453076485572,3,4.821535633504391,5.715935334872979,0.07234198027036902,0.09595716516342115,False,2.6343985654320168e-06
1,vits,42,0.009,2,4.3252764120697975,10.969976905311778,0.13883814395323346,0.09001962129667113,0,4.325222037732601,10.969976905311778,0.13883814395323346,0.09002149030281759,False,1.8690061464599061e-06
1,vits,42,0.02,1,7.512417298555374,1.7032332563510393,0.021556448666423093,0.07945296773258853,3,7.5121064484119415,1.7032332563510393,0.021556448666423093,0.07948340659573964,False,3.043886315111377e-05
1,vits,456,0.0095,0,4.190687591582536,16.628175519630485,0.2099125364431487,0.07913167547616555,0,4.190687591582536,16.628175519630485,0.2099125364431487,0.07913167547616555,True,0.0
1,vits,456,0.01,3,4.520077459514141,14.693995381062356,0.18549562682215745,0.07281829948423847,4,4.51930720359087,14.665127020785219,0.18513119533527697,0.07303624172431877,False,0.0002179422400803016
1,vits,456,0.009,2,3.882504577189684,20.958429561200923,0.26457725947521865,0.0772827715691221,2,3.882504577189684,20.958429561200923,0.26457725947521865,0.0772827715691221,True,0.0
1,vits,456,0.02,3,8.057927069067954,1.5011547344110854,0.018950437317784254,0.0683383698590435,2,7.3145459443330765,2.136258660508083,0.02696793002915452,0.07957037430375079,False,0.011232004444707289
1,vits,1011,0.0095,4,4.314916263520717,11.056581986143186,0.1403444485159399,0.08910008893766229,0,4.314872574806214,11.056581986143186,0.1403444485159399,0.08910040072096062,False,3.117832983318136e-07
1,vits,1011,0.01,0,4.632976187765598,6.784064665127021,0.0861121289849762,0.09298470005336264,3,4.632967537641525,6.784064665127021,0.0861121289849762,0.09298644600748172,False,1.7459541190867345e-06
1,vits,1011,0.009,1,3.8370685905218123,19.024249422632796,0.24148039574935878,0.08333762929362686,4,3.836991861462593,19.024249422632796,0.24148039574935878,0.08333836832910328,False,7.390354764269524e-07
1,vits,1011,0.02,4,7.401809012889862,1.5877598152424943,0.020153902528398684,0.07663063577114479,4,7.401809012889862,1.5877598152424943,0.020153902528398684,0.07663063577114479,True,0.0
2,vitb,123,0.01,1,4.050990116596222,14.953810623556581,0.18368794326241136,0.09746645954552283,1,4.050990116596222,14.953810623556581,0.18368794326241136,0.09746645954552283,True,0.0
2,vitb,123,0.02,3,7.199781432747841,1.6166281755196306,0.019858156028368795,0.09484952515607276,2,7.19975608587265,1.6166281755196306,0.019858156028368795,0.09485548208313416,False,5.956927061401274e-06
2,vitb,123,0.009,3,3.4163351468741894,24.971131639722863,0.3067375886524823,0.09365476184141006,4,3.4163346447050573,24.971131639722863,0.3067375886524823,0.09365477989109011,False,1.8049680056142492e-08
2,vitb,123,0.015,3,5.956497006118298,3.724018475750577,0.04574468085106383,0.10116153008641648,1,5.955896550416947,3.724018475750577,0.04574468085106383,0.10118603205517292,False,2.4501968756432402e-05
2,vitb,789,0.01,4,3.6330240800976754,24.855658198614318,0.30424028268551234,0.09197287816194494,0,3.632997252047062,24.855658198614318,0.30424028268551234,0.09197307616078468,False,1.9799883974047638e-07
2,vitb,789,0.02,3,7.015489682555199,2.338337182448037,0.028621908127208478,0.1018920576967055,2,7.013419437408447,2.3094688221709005,0.028268551236749113,0.10278137850211605,False,0.0008893208054105567
2,vitb,789,0.009,3,2.771946346387267,38.481524249422634,0.47102473498233216,0.08964626403921909,4,2.7719180110841988,38.481524249422634,0.47102473498233216,0.08964626829982768,False,4.260608588158021e-09
2,vitb,789,0.015,2,6.112880873680115,4.157043879907621,0.050883392226148405,0.09844624567490678,3,6.112860125303269,4.157043879907621,0.050883392226148405,0.09844808158195777,False,1.8359070509815778e-06
2,vitb,1213,0.01,1,3.749538303911686,20.207852193995382,0.25044722719141327,0.09279188133035005,4,3.7456971928477287,20.236720554272516,0.25080500894454383,0.0932262856933736,False,0.000434404363023555
2,vitb,1213,0.02,1,7.472776415944099,1.9630484988452657,0.024329159212880147,0.09826531053265684,0,7.222086307406426,1.5300230946882216,0.018962432915921288,0.12185024632977745,False,0.023584935797120607
2,vitb,1213,0.009,3,2.9879265531897543,34.699769053117784,0.4300536672629696,0.08772387786499518,2,2.987860902026296,34.67090069284065,0.42969588550983906,0.08772673817858358,False,2.8603135883986663e-06
2,vitb,1213,0.015,2,6.3860810786485676,3.4064665127020786,0.04221824686940966,0.09762006351255971,4,6.386036956310273,3.4064665127020786,0.04221824686940966,0.09765735499648151,False,3.729148392180026e-05
2,vits,123,0.0095,4,4.043546950817108,15.415704387990763,0.19726634650905062,0.08516784074971151,4,4.043546950817108,15.415704387990763,0.19726634650905062,0.08516784074971151,True,0.0
2,vits,123,0.01,2,4.3217389151453975,11.02771362586605,0.14111562615441448,0.08803813665901773,1,4.321652118861675,10.969976905311778,0.14037680088659032,0.088058845705508,False,2.0709046490263727e-05
