session,architecture,seed,budget,restart,restart_seed,steps,attack_loss,accuracy,clean_accuracy,normalized_accuracy,rho_abs,rho_rel,clean_logit_rms,global_rms,elapsed_sec,file,sha256
1,vitb,42,0.009,2,67077034,400,3.4405856244266033,27.424942263279444,81.81293302540416,0.33521524347212417,0.12054474500435329,0.08740603072955619,1.3791353296585667,0.008999999612569809,949.5439901351929,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.009/restart_2.json,3a32e72ad43a26a221025a204b4c75c0255c3da63746cfd599cbe98f0d2d03f2
1,vitb,42,0.009,3,818070465,400,3.440564402937889,27.424942263279444,81.81293302540416,0.33521524347212417,0.12054417029811779,0.08740561401466017,1.3791353296585667,0.008999999612569809,989.2695705890656,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.009/restart_3.json,4c276d90d525d50a81f0ca2c48ad95de96a4e327e3c30c706940a8ca88f487a0
1,vitb,42,0.009,4,1113603246,400,3.440603243559599,27.424942263279444,81.81293302540416,0.33521524347212417,0.1205448183958183,0.08740608394512064,1.3791353296585667,0.008999999612569809,938.3309264183044,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.009/restart_4.json,721de3a7c3de2c58817d3b682e9763962199b77902834841da2d456288b71bac
1,vitb,42,0.015,0,117176404,400,5.66836986541748,0.894919168591224,81.81293302540416,0.010938602681721947,0.14706406269895242,0.10663497594203547,1.3791353296585667,0.015000000596046448,866.6650431156158,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.015/restart_0.json,4b3ac5856678f34f2d42d343bf32198731caf5d6896d273dd92ba7745b04372b
1,vitb,42,0.015,1,1331573379,400,5.668375158309937,0.894919168591224,81.81293302540416,0.010938602681721947,0.1470647077106655,0.10663544363487112,1.3791353296585667,0.014999997802078724,982.6212532520294,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.015/restart_1.json,cf9abea443dcbbf74b59ff885bd695ed34840291845a52ff9d48731f3251ce96
1,vitb,42,0.015,2,1469218121,400,5.6683747410774235,0.894919168591224,81.81293302540416,0.010938602681721947,0.14706365274545577,0.10663467868803303,1.3791353296585667,0.014999997802078724,801.845136642456,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.015/restart_2.json,5fba5a95cb079e1cc730a82e41f4e5365ed4bd8b6e5e9abd3b259e75a283ffc7
1,vitb,42,0.015,3,1047661270,400,5.668356683850289,0.894919168591224,81.81293302540416,0.010938602681721947,0.14706556644431307,0.10663606629577256,1.3791353296585667,0.01499999687075615,932.8552939891815,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.015/restart_3.json,e673b3faad9bebca64b215460fa28e1170f88067a9d8c2a8575231fe9ac0e757
1,vitb,42,0.015,4,846237070,400,5.668375623226166,0.894919168591224,81.81293302540416,0.010938602681721947,0.1470655339067488,0.1066360427030449,1.3791353296585667,0.015000000596046448,760.7631375789642,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_42/budget_0.015/restart_4.json,d515b57f4c24e2af18befd0d6c25202b807a4c4237ae4e66997abcff9d1fe97c
1,vitb,456,0.01,0,1469920781,400,3.569028693437576,22.92147806004619,81.20669745958429,0.28226093138997516,0.13475118327501895,0.09835201473068952,1.370090726092381,0.009999999776482582,940.856555223465,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.01/restart_0.json,f5f95442d190202b1ecb0b755503713fa5b34e850adcb70e14f8fd7332804e52
1,vitb,456,0.01,1,1258423169,400,3.5690588027238848,22.92147806004619,81.20669745958429,0.28226093138997516,0.13475119283953416,0.09835202171162519,1.370090726092381,0.009999998845160007,772.565113067627,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.01/restart_1.json,43fc2b7d0814bcf4b4fcb2ce73435c78b2145960550e3745cbab25476d488e8d
1,vitb,456,0.01,2,1624826506,400,3.5690231308341027,22.92147806004619,81.20669745958429,0.28226093138997516,0.134749669245047,0.09835090967250387,1.370090726092381,0.009999998845160007,907.2302782535553,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.01/restart_2.json,70b7c04835e8af97975ad6efb13b4035fec3ce58d3b1971b36c39fa7dcd32cee
1,vitb,456,0.01,3,801508358,400,3.5690062582492827,22.92147806004619,81.20669745958429,0.28226093138997516,0.13475040938846955,0.09835144988740238,1.370090726092381,0.009999998845160007,802.3987560272217,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.01/restart_3.json,5b73ccae30a33db451daaf82fb77a9ab1dfb5d362ae430e96b285208c54065dd
1,vitb,456,0.01,4,704256235,400,3.5690656810998918,22.92147806004619,81.20669745958429,0.28226093138997516,0.13475148944097176,0.09835223819468865,1.370090726092381,0.009999998845160007,911.9363858699799,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.01/restart_4.json,bd58751ac9bc988ceef07f969be5c9a46e8e54c27789556e91dde0bb1c143979
1,vitb,456,0.02,0,1609527204,400,7.030677336454391,1.5011547344110854,81.20669745958429,0.01848560255954497,0.13388110550557045,0.0977169635235844,1.370090726092381,0.019999999552965164,794.9222664833069,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.02/restart_0.json,a1835190f2684582e5ec1352e2c0098097fd879cade0366cce803229e15a8492
1,vitb,456,0.02,1,2086256688,400,7.03067734837532,1.5011547344110854,81.20669745958429,0.01848560255954497,0.1338817011669533,0.09771739828412361,1.370090726092381,0.019999999552965164,893.5517039299011,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.02/restart_1.json,6899d463f4f0f1b061afc3d9251e0aba7e50748c7e5e72fb6836d229c8bf66fd
1,vitb,456,0.02,2,1615680260,400,7.030681586265564,1.5011547344110854,81.20669745958429,0.01848560255954497,0.13388149184572487,0.09771724550502334,1.370090726092381,0.019999999552965164,815.1614935398102,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.02/restart_2.json,11cc39b5892443e5ea23cb875082b7b4e74027317a8dbcfa1c18d8a34bfb3771
1,vitb,456,0.02,3,1048590050,400,7.030677622556686,1.5011547344110854,81.20669745958429,0.01848560255954497,0.13388214541558155,0.09771772253172255,1.370090726092381,0.019999999552965164,865.5449483394623,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.02/restart_3.json,107f071fd847b1d4db0c7acd420ed9c363f0b4cf82c4253c405adfd2ff9ab509
1,vitb,456,0.02,4,1085158911,400,7.030706480145454,1.5011547344110854,81.20669745958429,0.01848560255954497,0.13388033123793647,0.09771639840215175,1.370090726092381,0.019999997690320015,889.4530930519104,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.02/restart_4.json,67918941bd26bdd9a7b22907fc9a6a139c3aff5a5ac9093e0cda1afac6808377
1,vitb,456,0.009,0,805042889,400,2.6454206459224223,40.58891454965358,81.20669745958429,0.4998222538215429,0.1269482475968495,0.09265681839838232,1.370090726092381,0.009000001475214958,978.9444587230682,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.009/restart_0.json,1070e1481e9c7dd3745adfad9b2f06550fef15217edbcd1b889962ce8b860cfa
1,vitb,456,0.009,1,1614981826,400,2.6453711435198786,40.58891454965358,81.20669745958429,0.4998222538215429,0.12694799640686416,0.09265663506016933,1.370090726092381,0.009000001475214958,872.8072645664215,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.009/restart_1.json,23d29a6be353903c538a957ec99ff13e925bd0e5a786387dd0a892a7d35694ef
1,vitb,456,0.009,2,967138235,400,2.645390932261944,40.58891454965358,81.20669745958429,0.4998222538215429,0.12694821201895531,0.09265679243083615,1.370090726092381,0.009000000543892384,984.504123210907,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.009/restart_2.json,d7ccd07cecf680d62abdf21ccc619dc34339bfcb8fb7ccae4ef714befa09627e
1,vitb,456,0.009,3,820292111,400,2.645381136983633,40.58891454965358,81.20669745958429,0.4998222538215429,0.1269484129671793,0.09265693909865905,1.370090726092381,0.009000000543892384,874.7300288677216,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.009/restart_3.json,90063519f895391c0b2a71a6ca697de8f5279ce279aecf7c13b4509ec5fdefda
1,vitb,456,0.009,4,1622150816,400,2.645390398800373,40.58891454965358,81.20669745958429,0.4998222538215429,0.12694843616692542,0.09265695603165894,1.370090726092381,0.009000001475214958,1010.4412951469421,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.009/restart_4.json,9e6ca45de50f292b94529fcc401f01345f8b3121b689120737ade180ff18f999
1,vitb,456,0.015,0,2067251097,400,6.167079612612724,2.9445727482678983,81.20669745958429,0.036260220405261286,0.13376397268295526,0.09763147077453904,1.370090726092381,0.014999999664723873,845.6204934120178,/home/djoko.bandjur.ftnkm/Notebooks/results/sinusoidal_per_restart_audit_v1/final/session_1/vitb/seed_456/budget_0.015/restart_0.json,4c5ef82a429f9163f59e5565b64149ed79e9dc07009374a6981248a6aa98ac3f
